swar,frequency
अ,44619.0
आ,40254.0
इ,40317.0
ई,28038.0
उ,32394.0
ऊ,1135.0
ए,60961.0
ऐ,4199.0
ओ,5874.0
औ,24810.0
अं,2962.0
अः,0.0
ऋ,244.0
