halfLetter,frequency
प्,20126
र्,40360
त्,21026
ज्,5162
श्,6446
ल्,13700
न्,13526
द्,8637
स्,28772
ग्,6879
ष्,4505
ट्,9604
म्,4515
क्,26303
ख्,3636
ह्,338
व्,2371
फ्,4249
ब्,4081
ड्,1702
ध्,2800
च्,3669
य्,62
ण्,118
ि्,18
थ्,424
भ्,336
ू्,4
छ्,3
ु्,9
घ्,48
ठ्,24
े्,2
ञ्,1
उ्,1
ी्,2
ै्,3
ृ्,2
ढ्,1
