ending,frequency
हैं,12114
है,28933
चाहिए,784
से,36
किया,1521
की,1204
जाएगी,413
लें,105
जाएगा,840
करेंगे,488
थी,3685
गया,2125
था,5506
थे,2650
पाए,45
मिली,129
मिले,93
दिया,1584
दिखीं,16
मिला,183
बेचा,2
पहुंचा,38
फेरे,1
दी,967
रहेंगे,105
होगी,707
लेंगीं,1
जाए,325
आई,106
होंगे,314
पाया,43
रही,181
लेगी,18
दिक्कत,1
आए,177
रहेगा,125
देगा,70
सकेगा,45
सके,219
गए,1018
लगाए,39
डिटेल,1
लिस्ट,1
क्यों,16
जुटाए,1
हुआ,485
मामले,1
करेंगे..,1
बिताएंगे,5
चली,27
कराया,46
मिलता,10
होगा,880
ली,302
गई,1411
जानेंगे,2
उठाया,37
देगी,73
दिखाई,11
हुए,204
हूं,535
रहा,287
डाला,85
निकला,27
भेजा,14
आया,143
हो,312
जले,1
हंसाया,3
अंदाज,5
होता,58
है..,52
सलाम,4
डालेगा,6
करेगा,127
जाएंगे,226
करेगी,201
रखेंगे,20
आएंगे,177
मिलेगी,90
रखेगा,6
आएगी,45
पाएंगे,78
हैं..,29
बात,6
सकते,61
सकती,55
दे,31
होते,26
नाते,1
होती,31
चाहता,17
आएंगी,94
उठे,10
...,4
हुई,480
लगी,96
रहे,348
करवाया,17
निकले,29
ठहराया,15
लिया,571
एस.एच.ओ,2
किए,135
रहीं,57
लाली,1
थीं,455
रखा,54
करें,316
लगाया,67
के,44
लगा,116
बाद,8
भरा,4
उतरे,9
देखें,15
जाएंगी,46
बनीं,7
जीतीं,5
लगे,147
दीं,33
चला,27
पी,54
कहा,101
दिए,125
बोला,46
करे,71
लो,4
सुनी,16
देखा,30
पता,14
चेक,3
जाएं,61
खुलेगी,2
कही,57
लिखा,11
देती,7
कराई,47
जायेंगे,5
गयीं,2
बताया,118
चाहेगा,6
ये..,3
चलेगा,41
लिए,72
नहीं,328
करेंगी,67
खेलेगी,3
इतिमारपु,1
कौर,2
येंदाला,1
निशाना,2
बताई,42
पिलाई,4
बहेगा,2
चलेगी,15
टकराई,2
रहेंगी,26
,346
देंगे,181
पहुंचे,173
डाले,12
उठाए,19
मांगते,2
ही,22
करता,23
मिला..,1
बुरी,1
बताऊंगा,4
लगेगा,45
इजहार,1
हनीमून,1
पहुंचेंगे,14
करूं,7
