matra,frequency
ा,552855.0
ि,246223.0
ी,293017.0
ु,90366.0
ू,39851.0
े,434089.0
ै,90943.0
ो,176135.0
ौ,13487.0
ं,249342.0
ः,420.0
ँ,78.0
ृ,2971.0
