vyanjan,frequency
क,461365.0
ख,34643.0
ग,96663.0
घ,8849.0
ङ,0.0
च,48933.0
छ,13019.0
ज,113897.0
झ,4154.0
ञ,630.0
ट,72578.0
ठ,7703.0
ड,47146.0
ढ,4251.0
ण,10668.0
त,174421.0
थ,37316.0
द,126833.0
ध,25362.0
न,266599.0
प,155333.0
फ,37353.0
ब,115830.0
भ,40270.0
म,217843.0
य,133080.0
र,417601.0
ल,200260.0
व,105916.0
श,57751.0
ष,17346.0
स,259684.0
ह,241132.0
