word,frequency
नागरिकता,194
कानून,634
के,69328
खिलाफ,1981
बंगाल,211
में,52666
हिंसक,82
अपर्णा,6
सेन,21
ये,4147
ठीक,378
नहीं,10003
पूर्वोत्तर,37
राज्यों,375
साथ,6197
पश्चिम,195
भी,13880
संशोधन,145
अधिनियम,56
प्रदर्शन,470
हो,6535
रहे,4800
हैं.,11960
कई,2693
जगह,643
सार्वजनिक,130
संपत्तियों,33
को,33096
नुकसान,244
पहुंचाने,105
की,43138
खबरें,177
आई,775
इस,11443
मशहूर,176
फिल्मकार,13
और,24467
अन्य,735
बंगाली,29
बुद्धिजीवियों,10
ने,29455
शनिवार,380
कहा,6598
कि,19967
सरकारी,369
पहुंचाना,20
विरोध,705
दर्ज,1457
कराने,327
का,21603
सही,348
तरीका,71
है.,28629
गलत,351
बताया,2463
बार,2277
जब,2257
लोग,1686
भावना,74
बह,16
जाते,466
हैं,4588
तो,6294
आंदोलन,246
अतिवादी,2
रूप,932
ले,1011
लेता,72
लेकिन,4311
यह,4606
करने,5867
लिया,1543
रेलवे,302
स्टेशनों,43
पर,20352
संपत्तियां,9
राजमार्गों,6
बसों,70
जला,43
केंद्र,731
कुछ,3008
फैसलों,37
अपनी,2913
शिकायत,563
प्रकट,25
लिए,9089
जलानी,2
चाहिए.,761
जरूरत,401
तरह,1991
तृणमूल,69
कांग्रेस,2413
करीबी,140
समझे,7
जाने,1610
वाले,2631
एक,11311
समूह,143
प्रदर्शनकारियों,70
से,28844
राष्ट्रीय,515
नागरिक,136
पंजी,2
अपना,1153
हिंसा,373
संपत्ति,192
अपील,293
चित्रकार,2
कवि,23
गोस्वामी,8
सुबोध,13
भारतविद,1
नृसिंह,1
प्रसाद,283
भादुरी,1
मीडिया,996
सम्मेलन,107
सभी,1593
एनआरसी,68
लोकतांत्रिक,34
तरीके,350
से.,33
उन,668
लोगों,3214
हाथ,526
मजबूत,241
मत,70
कीजिए,15
जो,2664
समाज,290
विभाजन,23
पैदा,219
करना,1251
चाहते,482
शक्तियों,15
साजिश,265
शिकार,194
होइए,2
स्थिति,384
राजनीतिक,389
लाभ,123
उठाना,51
इन,1689
हस्तियों,42
मुख्यमंत्री,1283
ममता,181
बनर्जी,146
विश्वास,173
रखने,376
आह्वान,33
किया.,1507
प्रदर्शनों,13
दौरान,2065
व्यापक,42
मद्देनजर,112
जताने,17
तरीकों,40
उपयोग,63
की.,1192
ही,8369
चेतावनी,137
दी,2483
लेने,561
वालों,407
कार्रवाई,593
जाएगी.,411
जारी,1325
बयान,809
अपने,4248
न,1156
लें.,105
या,1511
ट्रेन,302
नाकेबंदी,7
परेशानी,149
किसी,2037
बख्शा,13
जाएगा.,834
उन्होंने,4205
आम,667
तकलीफ,33
होती,678
है,13168
हम,1415
बर्दाश्त,39
करेंगे.,480
कर,11008
उनमें,155
इनपुट,34
इंडियन,157
आर्मी,110
जासूसी,46
वाला,696
एजेंट,56
गिरफ्तार,1085
पाकिस्तानी,396
खुफिया,193
एजेंसियों,125
भारतीय,1125
सेना,601
बीएसएफ,107
संवेदनशील,42
जानकारी,1094
