matra,frequency,probability
ा,1522.0,0.22608437314319668
ि,968.0,0.1437908496732026
ी,410.0,0.060903149138443254
ु,911.0,0.1353238265002971
ू,216.0,0.03208556149732621
े,459.0,0.06818181818181818
ै,246.0,0.036541889483065956
ो,1024.0,0.15210932857991682
ौ,37.0,0.005496137849079026
ं,550.0,0.08169934640522876
ः,201.0,0.029857397504456328
ँ,0.0,0.0
ृ,188.0,0.027926322043969103
