halfLetter,frequency
त्,10988
ग्,3522
र्,21143
श्,3345
प्,10560
न्,7354
स्,15459
द्,4724
फ्,2450
ष्,2411
ख्,1864
ट्,5060
ब्,2222
च्,1674
क्,13764
ध्,1519
ल्,7513
ज्,2627
व्,1291
य्,36
म्,2542
ड्,871
थ्,209
ण्,70
भ्,173
ह्,134
ठ्,10
ि्,16
घ्,36
ै्,1
झ्,2
ु्,8
ू्,2
ञ्,1
छ्,1
े्,1
