triagram,frequency
रहे,2499
संत,41
में,27804
है.,15355
पास,747
चार,371
लोग,883
थे.,1496
देख,191
ली.,137
रहा,2220
बाद,3652
सभी,764
आहत,12
गया,2738
रही,2521
बरी,22
केस,462
था.,2985
दास,81
जेल,420
बंद,349
तीन,607
साल,1582
हुए,2206
हुआ,956
मिल,374
गई.,723
इसी,600
पंथ,2
चली,94
नाम,880
लिए,4856
दी.,464
मदद,327
की.,577
बीच,1001
मौत,593
बार,1227
फिर,916
गए.,522
हाई,167
मां,337
पेश,281
लगा,410
हैं,2346
किए,655
संघ,133
चले,69
उसे,785
देश,1129
गृह,216
उतर,39
आरा,6
बात,1430
तौर,363
उमर,28
अबू,27
सजा,271
कुछ,1530
समय,773
थी.,1953
तरह,1083
शाह,293
कहा,3452
फोन,303
बने,187
बता,612
दें,494
अलग,290
अभी,603
दशक,74
मीर,4
दिन,925
गलत,160
भेज,151
रात,428
बजे,323
टीम,401
मैं,710
हूं,213
कोई,1305
आया,382
काम,1040
साथ,3288
यौन,113
पवन,40
जमा,109
दिए,440
बजट,199
इसे,547
उठा,73
बटन,13
वजन,34
ऐसे,766
साफ,332
उभर,10
कलर,31
लगी,191
चयन,37
रखे,61
किम,66
महज,112
अगर,684
खास,299
घूम,17
हाल,325
मेल,36
कदम,206
नया,231
रूट,27
चीफ,116
पर.,12
शिव,41
रेल,143
तरफ,344
हरी,26
बना,407
आने,535
पाई,75
तथा,117
लाख,468
कमी,107
नजर,666
वजह,609
ऐसी,328
बैन,59
जता,20
हेड,48
आला,20
सही,161
जगह,310
सता,5
कभी,324
आगे,361
बहस,79
ठोस,21
शहर,178
लाल,104
खेल,108
हवस,18
करा,79
बिग,167
रोल,177
लीड,53
कपल,32
पैन,5
वार,33
कडी,3
एवं,147
भगत,27
माफ,33
गयी,37
गये,33
जैन,43
यदि,97
सात,136
आते,156
मैच,82
कैद,54
पता,395
नदी,65
सदी,16
रूप,462
हुई,1053
थी।,2
ऐसा,572
वही,86
वेब,45
चलन,7
तहत,322
हनन,11
रखा,249
जिन,118
तलब,16
रुख,84
भूख,20
देर,186
लगे,183
यूं,34
उसी,203
बनी,202
असर,135
पेट,37
तली,2
दवा,22
लें,23
आई.,66
सके,32
इधर,16
फेल,24
जीत,291
खोल,44
मना,78
चला,233
यही,261
सफल,87
जाट,28
कैश,55
इतर,12
तेज,175
गति,18
मंच,91
मैप,5
शेल,5
उधर,29
जंग,69
दूर,156
सतत,2
जून,162
गठन,61
रोड,80
चंद,33
खान,611
रजा,18
ऐपल,35
पूछ,19
एयर,66
यूज,50
मैक,5
ऊपर,121
तभी,127
जोर,83
हाथ,250
घूस,8
झूठ,26
आऐ.,1
बैठ,26
डील,41
छठे,9
फंड,55
मनी,19
एस.,11
खुद,473
जाम,30
ठीक,176
लूट,73
मार,166
फैल,36
बुआ,9
फेस,7
करो,10
रूल,5
जगत,37
छाप,12
खौफ,21
शेख,33
झटक,2
लास,2
कही,101
खबर,341
रिक,1
एंड,105
मिड,8
शेन,2
इंच,44
गेम,32
दिल,132
समझ,79
जोक,9
जिस,345
सफर,79
खुश,96
परे,6
कुल,241
किक,3
मान,48
खरे,6
आना,49
आलम,19
जान,193
मगर,154
रंग,93
भले,88
है।,25
जाए,132
सईद,103
झुक,5
बदल,114
फकत,1
पाए,74
सुन,16
राय,180
चाल,12
फंस,24
बगल,18
आए.,114
आका,5
अहम,187
पोल,66
खुल,26
मीट,10
राज,130
सपा,142
नवल,6
हार,127
डा.,4
थाम,7
गौर,29
नंद,3
को.,10
गईं,46
पदक,37
मात,28
कोच,26
वैन,43
बहन,78
मजे,3
फैन,46
पेज,25
पार,86
दीं,2
मरा,3
लहर,19
रेप,194
धवन,50
लकी,10
सोम,3
मेक,8
खोज,19
सैप,2
मुझ,18
मिक,1
लीव,4
वीक,10
लुक,108
रोक,164
कान,26
सोच,62
टाल,16
चूक,18
फतह,5
नाक,14
जोश,12
हों,48
वोट,277
फेर,5
बचा,37
सीट,318
सका,27
असम,63
नगर,127
करण,116
किस,131
पति,194
अजय,118
देव,47
तुम,57
डूब,19
नाथ,14
अटल,46
डरा,5
भाव,27
कूद,11
धूम,7
बेच,20
मचा,41
डेट,41
दौर,94
सीन,82
कैफ,42
सना,6
हटा,58
ढाई,21
रूम,40
कौर,24
लेट,10
लाश,152
नोट,132
जरा,18
मृत,20
खूब,100
डपट,1
बुक,28
हौज,6
मोड,12
चौक,27
विद,29
नही,47
बैक,20
राम,327
झलक,14
सनी,71
लीक,49
असल,39
फुल,14
रैम,40
सिम,10
दान,17
गैर,46
ठंड,4
डेड,6
नमी,5
तेल,47
हो.,150
बटर,3
फटे,2
आदत,27
मेन,12
रूफ,2
भरी,48
पैर,36
चोट,71
शेर,26
चने,3
दिख,132
जोन,16
इवन,9
ईवन,2
आधा,37
छूट,37
ताज,18
शाम,188
बैच,10
नये,12
करे,21
भाई,193
संग,98
ईयर,21
दफा,5
सधी,2
रोच,1
ओवर,21
पीस,10
टोल,10
ढेर,54
घेर,41
भाग,103
खफा,19
पहल,28
लाभ,90
थाह,2
रुक,22
यूथ,15
