matra,frequency
ा,292153.0
ि,131054.0
ी,153146.0
ु,47193.0
ू,20741.0
े,228967.0
ै,48056.0
ो,93491.0
ौ,7034.0
ं,132266.0
ः,198.0
ँ,47.0
ृ,1449.0
