monogram,frequency
व,100
न,677
.,110
आ,810
द,93
ए,34
ज,2
।,2
अ,1
ऐ,7
क,3
ब,3
ई,9
उ,1
स,1
र,1
झ,1
ल,1
ओ,10
ॐ,2
ह,1
म,1
ं,1
