digram,frequency
के,36538
दो,1046
को,17990
ने,15308
ले,503
इन,905
पर,10862
का,11403
है,6885
कि,10286
और,12800
की,22744
गई,1692
से,15178
यह,2378
कई,1440
कर,5791
जा,2111
ही,4329
चल,419
जज,64
एक,6009
भी,7365
बन,330
गए,1144
दे,592
ये,2260
हो,3374
इस,6040
भा,5
अब,1696
तक,1967
वो,1308
थी,510
दी,1385
या,714
था,1312
वह,1549
ली,254
आई,362
आम,354
आज,482
तो,3129
जब,1194
हम,694
घर,818
ओर,515
सब,226
आप,635
पद,249
उन,365
जो,1358
उस,650
तय,256
पा,87
नए,392
बस,120
कम,547
हद,37
हर,582
मे,86
तब,321
भर,206
वे,781
आए,369
शो,331
ना,255
एम,32
जे,21
झा,28
नौ,64
टी,17
ऐन,10
दल,258
थे,391
लग,182
रख,110
छह,136
डर,113
ला,41
मई,219
नई,271
री,3
ऐप,86
जल,52
सच,79
धन,68
गऐ,1
ए.,16
सौ,31
नो,7
शक,103
अल,36
सी,85
एस,39
रथ,10
कह,193
बह,7
आठ,93
दस,54
आग,134
कप,53
ऐस,3
रण,7
खा,29
दर,50
रच,12
हू,2
आस,7
घट,14
टू,29
टच,10
फट,3
सा,39
अप,11
हट,12
दम,66
रन,76
खो,30
शव,117
ईद,47
बल,78
उल,4
बी,36
मन,92
वन,77
धो,7
रह,250
टस,2
मस,2
मच,33
एड,7
जी,243
पल,29
लव,57
पे,10
कल,61
नव,8
बम,71
उठ,31
हज,8
ओम,51
डे,51
उप,40
भय,7
बज,19
जन,27
फू,2
कट,15
कस,6
हल,31
यश,7
जप,6
फल,29
शत,2
सो,32
बच,27
ठप,5
मल,1
शै,1
..,15
ओड,3
घन,1
गत,9
टन,19
यू,13
मत,41
एन,15
नर,1
खत,26
कब,45
छू,7
उर,4
जय,40
मं,1
मर,14
गौ,18
गे,3
आय,32
वी,23
दा,1
जू,1
एज,4
छत,13
वद,1
एप,18
पी,43
थम,8
डी,24
ऐड,6
शह,7
सर,26
दू,1
हक,49
भू,2
तप,1
तू,3
हे,1
ऋण,5
खल,4
मा,3
ठन,4
आर,23
घी,9
हब,4
पथ,6
बे,1
छा,8
आफ,7
धर,14
ई.,2
ओ.,4
नन,17
रब,1
आइ,1
तन,3
यस,13
कद,18
सह,14
टु,5
एल,9
रस,7
पट,2
फन,3
आन,2
डा,2
सट,1
ठग,9
डब,4
नम,3
जच,2
गो,5
शी,10
गन,10
रा,9
रे,9
गा,2
जग,7
वध,8
सन,2
नट,2
नच,7
लत,7
घई,5
कण,3
ईज,4
मठ,5
टल,10
पब,20
बै,1
नस,1
छठ,16
ईश,1
नभ,1
लो,6
अम,1
पच,2
जद,3
मऊ,8
गम,3
पू,1
टफ,3
एच,4
लय,6
मी,1
ढा,1
गज,3
तह,7
नह,1
आश,1
डल,1
ऊब,1
हग,2
बठ,1
रो,4
इज,2
थक,2
फर,1
तट,10
ओए,4
आल,1
दि,3
ढह,2
यो,2
जव,1
प्,2
लद,1
छः,1
लौ,1
हस,1
प.,1
दब,1
रु,5
रू,1
सू,15
ची,8
ऐश,3
रद,1
रट,1
भं,1
नः,1
भट,5
जस,2
तस,2
पन,1
ता,1
धक,1
औप,2
खस,1
न.,2
एट,2
मद,2
ऐज,1
वर,2
दु,1
नी,2
नल,4
छप,1
एव,1
बा,2
गल,1
उद,2
नय,1
डच,2
भो,1
यक,1
पो,2
चे,2
द.,1
चक,2
रग,2
हए,1
डो,1
लू,3
डग,3
लि,1
तल,1
गप,1
बू,1
