vyanjan,frequency
क,84553.0
ख,6132.0
ग,17562.0
घ,1774.0
ङ,0.0
च,8676.0
छ,2319.0
ज,19713.0
झ,727.0
ञ,123.0
ट,13170.0
ठ,1432.0
ड,8603.0
ढ,808.0
ण,1850.0
त,31210.0
थ,6784.0
द,23467.0
ध,4819.0
न,48587.0
प,28291.0
फ,6877.0
ब,21085.0
भ,7356.0
म,39195.0
य,24956.0
र,76648.0
ल,35672.0
व,19623.0
श,10090.0
ष,3132.0
स,47300.0
ह,42775.0
