halfLetter,frequency
र्,7502
ल्,2216
त्,3740
म्,793
ष्,789
प्,3793
क्,4786
श्,1091
न्,2448
ट्,1823
स्,5364
ज्,892
ग्,1269
ध्,492
द्,1583
फ्,913
व्,436
ू्,2
ड्,342
ख्,636
च्,630
ब्,678
य्,23
थ्,84
घ्,26
भ्,72
ण्,21
ह्,36
ि्,7
ठ्,4
ढ्,1
ु्,2
