matra,frequency
ा,100131.0
ि,45011.0
ी,52366.0
ु,16007.0
ू,7108.0
े,79036.0
ै,16331.0
ो,32273.0
ौ,2527.0
ं,45193.0
ः,53.0
ँ,6.0
ृ,506.0
