swar,frequency
अ,8227.0
आ,6917.0
इ,7685.0
ई,5246.0
उ,6079.0
ऊ,164.0
ए,11044.0
ऐ,766.0
ओ,1120.0
औ,4508.0
अं,488.0
अः,0.0
ऋ,44.0
