swar,frequency
अ,41928.0
आ,37778.0
इ,37926.0
ई,26193.0
उ,30544.0
ऊ,1036.0
ए,57494.0
ऐ,3922.0
ओ,5557.0
औ,23476.0
अं,2807.0
अः,0.0
ऋ,201.0
