vyanjan,frequency
क,433172.0
ख,32403.0
ग,90761.0
घ,8196.0
ङ,0.0
च,45983.0
छ,12231.0
ज,107479.0
झ,3961.0
ञ,608.0
ट,67646.0
ठ,7250.0
ड,43767.0
ढ,3970.0
ण,10002.0
त,164594.0
थ,34833.0
द,119592.0
ध,23947.0
न,250330.0
प,145643.0
फ,34964.0
ब,108795.0
भ,37969.0
म,204796.0
य,124967.0
र,391993.0
ल,187350.0
व,99434.0
श,54101.0
ष,16374.0
स,243954.0
ह,227136.0
