halfLetter,frequency
स्,27067
ज्,4948
र्,37677
ब्,3826
ल्,12639
ट्,8867
प्,18837
ध्,2659
द्,8168
च्,3421
ख्,3456
क्,24583
न्,12770
त्,19671
फ्,4027
ग्,6427
ष्,4250
श्,6002
व्,2197
म्,4295
ह्,309
ड्,1594
थ्,374
ञ्,2
ण्,106
भ्,329
घ्,50
ठ्,21
य्,48
ि्,18
ू्,3
छ्,3
ु्,9
े्,2
उ्,1
ी्,2
ै्,2
ृ्,2
ढ्,1
