monogram,frequency
न,1110
आ,1609
ए,86
द,153
ओ,19
व,230
.,212
ई,11
ब,5
ॐ,2
ज,1
ऐ,2
ह,3
म,1
ं,1
क,5
अ,7
ख,3
।,16
उ,1
ग,1
छ,1
ट,2
औ,4
घ,8
थ,1
