matra,frequency
ा,519590.0
ि,231553.0
ी,274293.0
ु,84620.0
ू,37380.0
े,407953.0
ै,85600.0
ो,166161.0
ौ,12730.0
ं,234858.0
ः,409.0
ँ,73.0
ृ,2804.0
