word,frequency
स्तनपान,11
कराने,298
से,27212
कम,1033
होता,867
है,12406
स्तन,13
कैंसर,70
का,20287
खतरा,160
वैज्ञानिकों,15
ने,27497
एक,10637
नए,583
शोध,74
में,49565
दावा,509
किया,6385
कि,18729
महिलाओं,543
के,65302
की,40485
चपेट,68
आने,907
हो,6137
जाता,989
है.,26809
कोलंबिया,2
यूनिवर्सिटी,225
मेलमैन,1
स्कूल,395
पब्लिक,65
हेल्थ,36
शोधकर्ताओं,36
पाया,225
एस्ट्रोजन,1
रिसेप्टर,2
और,23147
प्रोजेस्ट्रोन,1
निगेटिव,25
स्तनकैंसर,2
अपने,4011
इस,10770
दौरान,1934
कई,2497
पहलुओं,26
अध्ययन,104
जिनमें,157
महिला,1143
द्वारा,747
पैदा,219
किए,1095
गए,2073
बच्चों,492
संख्या,372
आदि,70
शामिल,1229
थे.,2502
नतीजों,69
गया,4699
बिना,303
कराए,66
तीन,1071
या,1398
अधिक,392
बच्चे,402
होने,2591
संबंध,338
पीआर,14
खतरे,80
को,31119
देता,223
आमतौर,38
पर,19098
युवा,128
इसका,585
पता,795
बहुत,1216
देर,352
चलता,95
रिपोर्ट,749
लेखिका,8
मेगान,1
वर्क,36
कहती,97
महिलाएं,130
कराती,14
हैं,4380
तो,6004
उनमें,148
पनपने,7
आशंका,187
नहीं,9316
ऊना,21
दलित,290
युवकों,130
अब,3067
मृत,67
गाय,54
खाल,6
निकालने,85
काम,1868
करेंगे,199
गोरक्षा,23
नाम,1633
बर्बरता,19
पिटे,2
चार,668
मंगलवार,413
अस्पताल,620
छुट्टी,77
मिल,633
गई.,1320
राजकोट,25
सिविल,71
डिस्चार्ज,10
हुए,4072
इन,1612
कहा,6196
वो,2227
करेंगे.,446
रमेश,51
वशराम,1
अशोक,125
सरवेया,3
बेचर,1
जुलाई,236
भर्ती,296
कराया,305
था.,5100
हादसे,194
बाद,6276
ही,7891
हमने,369
बंद,636
कर,10278
दिया,3607
चारों,124
गांव,707
जाकर,247
क्या,1253
कैसे,396
अपना,1091
गुजारा,8
चलाएंगे.,4
उन्होंने,3985
सरकार,4079
सरकारी,325
नौकरी,189
देने,1215
मांग,720
गौरक्षक,5
दल,401
