matra,frequency,probability
ा,93.0,0.28703703703703703
ि,122.0,0.3765432098765432
ी,14.0,0.043209876543209874
ु,14.0,0.043209876543209874
ू,6.0,0.018518518518518517
े,13.0,0.040123456790123455
ै,2.0,0.006172839506172839
ो,12.0,0.037037037037037035
ौ,4.0,0.012345679012345678
ं,13.0,0.040123456790123455
ः,13.0,0.040123456790123455
ँ,0.0,0.0
ृ,18.0,0.05555555555555555
