matra,frequency,probability
ा,8876.0,0.37704430567945285
ि,4462.0,0.189541650737012
ी,411.0,0.017458901491015675
ु,3126.0,0.1327896011214477
ू,427.0,0.018138566755872734
े,2547.0,0.10819421434943291
ै,451.0,0.019158064653158318
ो,883.0,0.037509026804298885
ौ,212.0,0.009005564759356018
ं,854.0,0.03627713351174547
ः,490.0,0.020814748736247397
ँ,0.0,0.0
ृ,802.0,0.034068221400960025
