digram,frequency,probability
उफ,97,4.462186876386383e-05
ई.,176,8.096339074680448e-05
ओश,81,3.726156051415433e-05
ऐष,35,1.6100674296239526e-05
ओं,73,3.358140638929958e-05
आँ,88,4.048169537340224e-05
आघ,31,1.4260597233812153e-05
उथ,99,4.554190729507752e-05
इओ,39,1.79407513586669e-05
ओ.,40,1.8400770624273744e-05
इआ,76,3.496146418612012e-05
ईग,144,6.624277424738548e-05
आऊ,78,3.58815027173338e-05
ओग,207,9.522398798061662e-05
ऐब,49,2.2540944014735338e-05
आछ,35,1.6100674296239526e-05
ओह,73,3.358140638929958e-05
ऊम,24,1.1040462374564247e-05
अौ,24,1.1040462374564247e-05
ऐड,84,3.864161831097486e-05
आष,22,1.012042384335056e-05
अा,188,8.648362193408659e-05
ओआ,68,3.128131006126537e-05
ओन,71,3.2661367858085896e-05
उह,22,1.012042384335056e-05
एण,32,1.4720616499418996e-05
ऐज,40,1.8400770624273744e-05
ऊत,21,9.660404577743715e-06
ऐह,37,1.7020712827453212e-05
उव,50,2.300096328034218e-05
ऐव,19,8.74036604653003e-06
ऋद,27,1.2420520171384778e-05
ऊफ,18,8.280346780923185e-06
औल,17,7.820327515316342e-06
ऐर,28,1.288053943699162e-05
अझ,15,6.900288984102654e-06
ऐे,27,1.2420520171384778e-05
ऊग,14,6.44026971849581e-06
उई,17,7.820327515316342e-06
ओे,16,7.360308249709498e-06
उइ,17,7.820327515316342e-06
एे,33,1.5180635765025839e-05
औत,16,7.360308249709498e-06
औन,12,5.520231187282124e-06
ईे,12,5.520231187282124e-06
ओत,14,6.44026971849581e-06
इइ,12,5.520231187282124e-06
ऊच,12,5.520231187282124e-06
उ्,12,5.520231187282124e-06
ऊह,11,5.06021192167528e-06
ऋण,31,1.4260597233812153e-05
इद,34,1.5640655030632683e-05
ऊँ,11,5.06021192167528e-06
ऊस,16,7.360308249709498e-06
ऊल,11,5.06021192167528e-06
ऋं,10,4.600192656068436e-06
इई,10,4.600192656068436e-06
ऐ.,10,4.600192656068436e-06
एँ,9,4.140173390461592e-06
अै,9,4.140173390461592e-06
आै,9,4.140173390461592e-06
अढ,9,4.140173390461592e-06
इझ,9,4.140173390461592e-06
आा,26,1.1960500905777933e-05
औव,15,6.900288984102654e-06
इह,12,5.520231187282124e-06
आअ,8,3.680154124854749e-06
अो,10,4.600192656068436e-06
उघ,8,3.680154124854749e-06
ऊब,18,8.280346780923185e-06
ईघ,7,3.220134859247905e-06
अे,10,4.600192656068436e-06
आथ,6,2.760115593641062e-06
ओण,6,2.760115593641062e-06
ओई,9,4.140173390461592e-06
इे,6,2.760115593641062e-06
ऐथ,6,2.760115593641062e-06
ऐम,6,2.760115593641062e-06
उझ,6,2.760115593641062e-06
इण,6,2.760115593641062e-06
इष,6,2.760115593641062e-06
आौ,5,2.300096328034218e-06
आी,5,2.300096328034218e-06
आऐ,5,2.300096328034218e-06
उ.,4,1.8400770624273745e-06
ऊश,4,1.8400770624273745e-06
इठ,4,1.8400770624273745e-06
अअ,4,1.8400770624273745e-06
ऊक,4,1.8400770624273745e-06
ईथ,4,1.8400770624273745e-06
ओढ,4,1.8400770624273745e-06
औै,4,1.8400770624273745e-06
इ.,3,1.380057796820531e-06
ओद,3,1.380057796820531e-06
ईह,3,1.380057796820531e-06
उअ,3,1.380057796820531e-06
आो,3,1.380057796820531e-06
उि,1,4.600192656068436e-07
आआ,1,4.600192656068436e-07
