swar,frequency,probability
अ,679225.0,0.15544218722358935
आ,610429.0,0.1396980660380705
इ,621465.0,0.14222367975694059
ई,428339.0,0.09802635508581846
उ,496946.0,0.11372722319115733
ऊ,17432.0,0.003989352876707438
ए,932677.0,0.21344525430179345
ऐ,63664.0,0.014569651304652499
ओ,91905.0,0.021032668433558808
औ,378108.0,0.08653087640581092
अं,45532.0,0.010420101834685813
अः,0.0,0.0
ऋ,3909.0,0.0008945835472148563
