swar,frequency,probability
अ,2964.0,0.3079160606690214
आ,744.0,0.07729067109910659
इ,1164.0,0.12092250155827966
ई,28.0,0.002908788697278205
उ,747.0,0.07760232703095782
ऊ,54.0,0.005609806773322252
ए,926.0,0.09619779763141492
ऐ,28.0,0.002908788697278205
ओ,7.0,0.0007271971743195513
औ,16.0,0.0016621649698732599
अं,5.0,0.0005194265530853937
अः,0.0,0.0
ऋ,180.0,0.018699355911074175
ऽ,2763.0,0.2870351132349886
