monogram,frequency,probability
च,2697,0.5044893378226711
स,1092,0.20426487093153758
य,18,0.003367003367003367
व,4,0.0007482229704451926
न,1512,0.2828282828282828
त,3,0.0005611672278338945
ह,16,0.0029928918817807705
क,3,0.0005611672278338945
थ,1,0.00018705574261129816
