ending,frequency,probability
बली,1,0.0006485084306095979
हितः,1,0.0006485084306095979
तपोधनः,1,0.0006485084306095979
भगवानृषिः,1,0.0006485084306095979
विमानिता,1,0.0006485084306095979
कुरु,1,0.0006485084306095979
बहुमूलफलोदकः,1,0.0006485084306095979
तारितः,1,0.0006485084306095979
तपोवने,1,0.0006485084306095979
खरदूषणौ,1,0.0006485084306095979
विगतासवः,1,0.0006485084306095979
कुलपांसन,1,0.0006485084306095979
शारिकाः,1,0.0006485084306095979
सशैलवनकानना,1,0.0006485084306095979
कुमानुषौ,1,0.0006485084306095979
सहचारणैः,1,0.0006485084306095979
जिघांसवः,1,0.0006485084306095979
वलाहकाः,1,0.0006485084306095979
वाहिनीपतिः,1,0.0006485084306095979
चाहमालभे,1,0.0006485084306095979
वाजिनः,1,0.0006485084306095979
इव,4,0.0025940337224383916
सहदूषणः,1,0.0006485084306095979
महाभुज,1,0.0006485084306095979
रतः,2,0.0012970168612191958
रुचिरानना,1,0.0006485084306095979
मृगः,1,0.0006485084306095979
मृगवधूमिव,1,0.0006485084306095979
संशयः,10,0.00648508430609598
सामरैः,1,0.0006485084306095979
वनदेवताः,2,0.0012970168612191958
मारुतः,4,0.0025940337224383916
रावणः,12,0.007782101167315175
निशाचरः,2,0.0012970168612191958
पयोधरौ,1,0.0006485084306095979
मैथिली,2,0.0012970168612191958
सा,3,0.0019455252918287938
पतिः,1,0.0006485084306095979
रोहिणीमिव,1,0.0006485084306095979
पाणिना,1,0.0006485084306095979
महारथः,1,0.0006485084306095979
दूरगतंवने,1,0.0006485084306095979
यथाऽऽतुरा,1,0.0006485084306095979
शंसत,1,0.0006485084306095979
राघवौ,1,0.0006485084306095979
वीरनिषेवितः,1,0.0006485084306095979
पितामहः,1,0.0006485084306095979
सेवते,2,0.0012970168612191958
रावण,2,0.0012970168612191958
वरुणालयः,1,0.0006485084306095979
दुःखभागिना,1,0.0006485084306095979
भवेदिह,1,0.0006485084306095979
महाबल,3,0.0019455252918287938
पिता,2,0.0012970168612191958
यतावहे,1,0.0006485084306095979
कृथाः,1,0.0006485084306095979
दुःखाभिहतचेतनः,1,0.0006485084306095979
रजनीचरैः,1,0.0006485084306095979
दृशा,1,0.0006485084306095979
महावने,1,0.0006485084306095979
वसुधाधिपाः,1,0.0006485084306095979
साधवः,1,0.0006485084306095979
वायुवेगैरिवाचलाः,1,0.0006485084306095979
रणे,1,0.0006485084306095979
धरणीतले,1,0.0006485084306095979
बलीयसा,1,0.0006485084306095979
दुःखितः,1,0.0006485084306095979
तावुभौ,1,0.0006485084306095979
मतिः,3,0.0019455252918287938
मोहितौ,1,0.0006485084306095979
वपुः,1,0.0006485084306095979
रणाजिरे,2,0.0012970168612191958
रोचये,1,0.0006485084306095979
विभावसौ,1,0.0006485084306095979
चिरजीविनी,1,0.0006485084306095979
वानरैः,1,0.0006485084306095979
कुथामिव,1,0.0006485084306095979
समवगाहत,1,0.0006485084306095979
रुचिरकाननः,1,0.0006485084306095979
विनिवेशितः,1,0.0006485084306095979
हिमावहः,1,0.0006485084306095979
सीतया,2,0.0012970168612191958
कुसुमशालिनः,1,0.0006485084306095979
वनराजिषु,1,0.0006485084306095979
गिरिसानुनि,1,0.0006485084306095979
सुविभूषितः,1,0.0006485084306095979
गिरिसानुषु,1,0.0006485084306095979
सुखाकृता,1,0.0006485084306095979
नगसानुषु,1,0.0006485084306095979
वसेमहि,1,0.0006485084306095979
धारये,1,0.0006485084306095979
जने,1,0.0006485084306095979
शोकोपहतचेतनः,1,0.0006485084306095979
शरचापासिधारिणौ,1,0.0006485084306095979
गोवृषौ,1,0.0006485084306095979
सुसमाहितः,1,0.0006485084306095979
सराघवः,1,0.0006485084306095979
सुदारुणः,1,0.0006485084306095979
दुरासदौ,1,0.0006485084306095979
परिधावसि,1,0.0006485084306095979
निरयगामिनः,1,0.0006485084306095979
हतः,1,0.0006485084306095979
वशमागतः,1,0.0006485084306095979
महीतले,3,0.0019455252918287938
शुभा,1,0.0006485084306095979
कृताः,1,0.0006485084306095979
निपातितः,1,0.0006485084306095979
शोकसागरे,1,0.0006485084306095979
सुदुःखिता,3,0.0019455252918287938
समाहिताः,2,0.0012970168612191958
इवानलः,1,0.0006485084306095979
दिशः,1,0.0006485084306095979
विकृताननाः,1,0.0006485084306095979
पावकः,3,0.0019455252918287938
रोचते,3,0.0019455252918287938
वानराः,10,0.00648508430609598
रिरंसवः,1,0.0006485084306095979
सवेदिकः,1,0.0006485084306095979
सवेदिका,1,0.0006485084306095979
तिमिरावृता,1,0.0006485084306095979
जानकी,3,0.0019455252918287938
भोजिनी,1,0.0006485084306095979
वासुकिः,1,0.0006485084306095979
गतिः,2,0.0012970168612191958
हरियूथपाः,1,0.0006485084306095979
कामरूपिभिः,1,0.0006485084306095979
महाधनैः,1,0.0006485084306095979
कृतः,3,0.0019455252918287938
विनशेदिति,1,0.0006485084306095979
भयाः,1,0.0006485084306095979
वनगोचराः,1,0.0006485084306095979
महाबलाः,2,0.0012970168612191958
पादपाः,1,0.0006485084306095979
यदा,1,0.0006485084306095979
तेजसा,1,0.0006485084306095979
रता,1,0.0006485084306095979
सागररोधसि,1,0.0006485084306095979
दुःखिताः,1,0.0006485084306095979
