matra,frequency
ा,738136.0
ि,331069.0
ी,389333.0
ु,119742.0
ू,53262.0
े,580928.0
ै,122699.0
ो,235860.0
ौ,18146.0
ं,333364.0
ः,495.0
ँ,95.0
ृ,3851.0
