digram,frequency
के,92358
का,28730
की,58141
से,38409
को,44289
अब,4370
कर,14532
दल,538
और,32600
दी,3226
गई,4198
दो,2694
वे,2104
ने,39487
रन,254
एक,15243
भी,18516
थे,1052
वह,3858
कप,159
पर,27154
जा,5145
थी,1541
कि,26624
लग,462
यह,6337
है,17518
छह,351
या,2016
आस,28
तक,4954
जब,2979
था,3319
जो,3412
इस,15462
दे,1399
इन,2209
ओम,82
उन,845
जल,157
तो,8215
हो,8852
हम,1838
गए,2979
आठ,226
ही,11010
उस,1640
ले,1394
मच,110
बन,753
शव,493
घर,2246
सो,77
आग,405
कल,239
ओर,1305
कई,3594
ईद,83
वो,3187
हर,1548
सर,72
मर,42
सब,593
ये,5577
आए,954
ना,716
नई,677
रच,39
आज,1442
कम,1489
फल,27
नए,820
आम,935
लव,166
हद,93
डे,132
कट,76
रस,23
मई,419
पद,556
ली,715
बज,13
आई,1101
बम,189
बस,458
एज,19
दर,207
मे,197
रह,528
बच,125
छत,53
मन,239
तब,932
ला,106
आप,1707
जी,649
बल,228
हए,2
उप,84
एम,58
पी,91
जे,36
खा,72
खो,62
सा,114
चल,1113
दस,154
तय,657
सौ,104
ऐश,10
कह,464
शो,1024
रख,239
सच,197
नो,23
कब,141
यश,39
हफ,2
नौ,141
शक,234
सी,201
भर,394
एस,91
दम,173
हट,35
वध,6
ऐप,184
मद,3
रण,14
थम,22
घी,19
जय,73
जज,211
हक,110
उठ,76
डर,258
अल,52
वन,158
टी,40
हल,66
पल,64
वी,29
छा,19
पा,245
फर,1
खत,53
धन,122
धर,37
आर,87
तट,37
डी,65
मत,105
लत,24
रे,19
आय,103
गा,27
मा,1
छू,35
डट,3
यू,39
गण,16
ऐड,57
ठग,26
फन,9
गे,7
एन,33
भा,10
इल,7
बह,21
टच,37
ठन,2
शी,43
घई,13
एड,12
बी,106
जन,62
टू,50
लो,41
टल,29
तह,11
पथ,14
एफ,9
इज,29
सम,5
टब,3
धो,15
ई.,4
चक,2
तल,6
अप,45
तन,11
कफ,2
गन,24
मठ,14
तू,23
भय,25
न.,7
लू,43
कद,25
सह,38
एल,17
मऊ,12
हे,7
एप,73
पब,36
रथ,37
घट,19
बढ,4
गम,12
गत,21
डब,16
ठप,26
थक,16
रो,26
सई,6
हब,10
ओ.,6
आल,6
नन,23
नम,9
मग,1
बे,8
मी,8
पो,5
बग,2
ऐन,14
ऋण,28
झा,64
कस,15
डन,2
टन,38
शू,1
..,29
झट,6
लक,4
यस,15
गज,9
यी,1
रग,1
ढक,13
सज,4
इव,2
लौ,6
भू,2
रा,1
सन,19
ए.,17
एच,19
छठ,18
पे,22
बट,6
आफ,9
ठा,2
त।,1
आन,3
दौ,1
घन,2
ऐज,4
उग,2
कण,6
शट,1
फट,13
आओ,4
शह,8
गौ,17
खस,2
जौ,4
ब्,1
धम,1
डा,3
लय,5
वू,3
उल,15
जम,13
कश,1
जद,12
रब,1
रल,1
रफ,3
औप,2
दि,21
वश,3
नी,2
जस,8
तस,7
टफ,3
ढा,5
भट,19
नस,8
ते,1
पच,2
मै,2
बू,4
पक,3
भई,1
डू,2
डु,5
गो,28
डो,1
ओट,2
गं,1
मय,1
दब,5
चे,1
डि,6
नं,1
दा,9
ईट,3
दह,1
नच,5
फी,3
ढो,1
शा,1
आध,3
गढ,1
जै,1
।।,1
तर,2
बा,3
लद,3
द.,22
सथ,2
छे,4
टु,3
हज,14
मध,1
छग,1
रट,3
छप,2
वर,5
पग,5
जग,3
हू,3
तप,2
ड्,1
अन,2
उद,6
मं,1
ओड,2
यो,5
मल,5
नव,4
ढल,2
थ.,2
इट,3
जह,1
यु,3
हा,1
खम,1
ऊब,1
डल,1
डच,4
मड,1
पट,3
सः,1
गी,1
प.,4
आह,1
मि,1
नर,2
ेी,1
इश,1
बद,5
ढह,7
उर,3
शत,1
ईज,3
री,2
अभ,1
गर,5
वय,1
खल,1
टस,1
मस,1
गड,1
एग,3
आइ,1
ऐम,1
औक,2
वि,1
एट,4
ऊन,1
ईश,1
जू,1
नल,2
भग,1
आव,1
फू,2
थल,3
छट,1
जट,5
छल,1
जच,1
रम,1
ईच,2
ज.,5
टक,3
गल,1
जप,2
हई,1
शब,1
जि,1
चढ,1
ऐस,2
ओज,1
ची,1
गय,1
हं,1
