swar,frequency
अ,59530.0
आ,53868.0
इ,54737.0
ई,37384.0
उ,43240.0
ऊ,1552.0
ए,81843.0
ऐ,5373.0
ओ,8170.0
औ,33020.0
अं,3985.0
अः,0.0
ऋ,401.0
