monogram,frequency
.,293
आ,2196
द,230
न,1519
क,8
अ,13
व,364
ख,3
ओ,17
ए,110
ब,8
।,21
उ,1
ई,25
ग,2
ह,4
छ,1
ट,2
औ,6
घ,9
थ,1
ऐ,2
ा,1
र,1
य,1
इ,1
