word,frequency
आखिरी,309
वनडे,95
के,92358
लिए,12433
टीम,1393
इंडिया,792
का,28730
की,58141
वापसी,190
पांच,742
मैचों,78
सीरीज,261
में,70500
भारत,3067
से,38409
आगे,1090
है.,38902
बुधवार,639
को,44289
विशाखापत्तनम,10
खेला,61
गया,7090
दूसरा,283
टाई,7
रहा.,346
अब,4370
तीसरा,79
मुकाबला,157
अक्टूबर,262
पुणे,132
जाएगा.,1058
वेस्टइंडीज,34
खिलाफ,2588
मौजूदा,295
तीन,1685
ऐलान,390
कर,14532
दिया,5069
गुरुवार,582
सदस्यीय,67
दल,538
घोषणा,408
गई.,1813
तेज,424
गेंदबाज,54
और,32600
भारतीय,1475
हुई,2639
जबकि,1154
मोहम्मद,214
शमी,12
जगह,812
नहीं,13101
दी,3226
गई,4198
रहा,5406
था.,7303
विराट,164
कोहली,216
रोहित,146
शर्मा,635
शिखर,67
अंबति,2
ऋषभ,6
एमएस,4
धोनी,131
रवींद्र,14
कुलदीप,114
युजवेंद्र,3
भुवनेश्वर,28
जसप्रीत,23
खलील,4
उमेश,53
केएल,5
मनीष,183
पांडे.,2
पहले,5041
दो,2694
मिली,805
लेकिन,5682
बाकी,340
उन्हें,3010
बाहर,1091
वे,2104
दोनों,2531
काफी,1671
महंगे,20
साबित,401
हुए,5868
थे.,3587
ने,39487
गुवाहाटी,17
रन,254
देकर,362
एक,15243
विकेट,180
लिया,2074
यादव,1172
भी,18516
प्रभावशाली,21
गेंदबाजी,26
पाए,206
थे,1052
उन्होंने,5710
लुटाए,5
वह,3858
अपनी,3798
बरकरार,87
रखने,498
सफल,232
रहे.,421
बुमराह,26
एशिया,114
कप,159
उसके,2314
बाद,8767
टेस्ट,419
विश्राम,6
उनकी,2387
आक्रमण,13
मजबूती,72
चयनकर्ताओं,8
केदार,9
जाधव,52
जिन्होंने,227
देवधर,2
करके,787
गेंदों,42
पर,27154
रनों,65
पारी,140
खेली.,15
कुछ,3977
मैच,405
खेलने,131
जा,5145
सकता,1625
संभावना,230
थी,1541
कि,26624
युवा,218
बल्लेबाज,75
पृथ्वी,14
चुना,96
दौरान,2755
उनके,3414
हाथ,712
चोट,144
लग,462
तरफ,948
खेले.,4
यह,6337
पता,1082
चला,571
है,17518
राष्ट्रीय,665
चयनसमिति,1
कुल,527
छह,351
चयन,62
शुक्रवार,600
करेगी.,267
तीनों,379
उसकी,1370
सरजमीं,6
खेले,52
जाएंगे.,320
देखना,231
दिलचस्प,155
होगा,640
क्या,1851
कप्तान,164
खेलेंगे,7
या,2016
नहीं.,392
चौथा,32
मुंबई,874
पांचवां,17
तिरुवनंतपुरम,5
चुनावी,332
वादे,78
कमलनाथ,175
बेरोजगारी,59
भत्ता,46
देने,1821
कोई,3366
प्लान,197
आस,28
लगाए,351
युवाओं,169
मध्यप्रदेश,101
सरकार,5617
झटका,114
फिलहाल,580
इसकी,925
जानकारी,1452
खुद,1224
मुख्यमंत्री,1735
मंगलवार,606
विधानसभा,1051
कांग्रेस,3363
विधायक,805
मुन्नालाल,2
गोयल,91
प्रश्न,33
उत्तर,1175
देते,817
दी.,1255
पिछले,1468
साल,3979
चुनाव,2765
अपने,5599
वचन,26
पत्र,342
प्रदेश,2078
चार,902
हजार,714
रुपए,297
तक,4954
वादा,150
किया,9298
जब,2979
सवाल,1221
पूछा,379
पंजीकृत,9
बेरोजगारों,9
रोजगार,149
उपलब्ध,257
कराने,448
नीति,161
बना,913
रही,6544
इसके,3802
सीएम,574
लिखित,62
जवाब,956
इससे,1796
लेकर,3720
नेता,1820
प्रतिपक्ष,19
गोपाल,108
भार्गव,18
कहा,8939
था,3319
साथ,8314
छलावा,3
किया.,1991
बेरोजगार,20
प्रतिमाह,6
भत्ते,18
बजट,454
स्पष्ट,139
उल्लेख,31
सिर्फ,1132
बातोँ,1
घुमाने,8
प्रयास,260
मावा,1
जलेबी,3
चिरौंजी,1
बर्फी,7
ब्रांडिंग,2
करने,7744
बजाय,141
ठोस,48
काम,2621
जरूरत,554
जनता,1003
जो,3412
दिए,977
पुरे,2
इस,15462
मंशा,41
नही,106
दिखाई,288
देती,213
गौरतलब,562
स्वाभिमान,9
योजना,550
तहत,927
आर्थिक,360
रूप,1246
मजबूत,315
बनाया,615
जाना,557
मध्य,526
कैबिनेट,252
लागू,487
मंजूरी,220
दे,1399
थी.,4687
शहरी,84
कमजोर,163
तबके,21
खाका,16
तैयार,777
दिन,2401
प्रशिक्षण,41
मिलना,84
अवधि,88
इन,2209
मिलाकर,119
यानी,579
महीने,914
हिसाब,148
मानदेय,3
जिससे,517
मुकर,9
प्रदूषण,201
बैठक,894
लापता,95
रहने,1001
वाले,3487
अधिकारियों,566
लोकसभा,959
अध्यक्ष,1170
चेतावनी,167
ओम,82
बिरला,12
उन,845
तलब,41
सप्ताह,147
विकास,676
पैनल,29
नगर,411
आयुक्त,69
जल,157
बोर्ड,476
सदस्य,402
रहे,6378
मौजूद,721
गैरमौजूदगी,14
लगी,432
बता,1548
दें,1258
संसद,407
दिल्ली,4193
पहुंचे,433
स्पीकर,69
ऐसा,1475
दोबारा,208
मामले,3339
दंडात्मक,3
कार्रवाई,779
सदन,248
मुद्दा,257
उठा.,24
टीएमसी,45
सांसद,708
काकोली,4
घोष,26
दस्तीदार,5
हमारे,659
पास,1998
तो,8215
हो,8852
हमें,628
स्वच्छ,48
हवा,157
सांस,76
लेने,779
अधिकार,282
सुनिश्चित,108
लोग,2214
मास्क,30
घूम,47
हैं.,16204
दुनिया,930
सबसे,1875
प्रदूषित,11
शहरों,135
बेहद,576
चिंता,233
विषय,154
क्रिकेटर,70
पूर्वी,139
गौतम,65
गंभीर,547
हालत,428
खराब,338
कंस्ट्रक्शन,23
साइट्स,23
जैसे,1014
स्कीम,43
लाकर,31
हम,1838
.,293
स्थाई,21
समाधान,101
खोजना,4
दौर,259
खत्म,606
करना,1653
होगा.,1103
वहीं,1555
तिवारी,292
रचनात्मक,11
तरीके,442
इसपर,53
चाहिए.,998
देशों,503
साफ,794
सकती,1140
महानगरों,15
क्यों,674
करती,826
ऐक्शन,6
जिक्र,250
उसपर,31
अमल,49
रणनीति,201
चर्चा,748
होनी,213
स्थायी,44
कमेटी,203
चाहिए,450
क्लाइमेट,16
चेंज,34
बारे,1668
किए,1604
गए,2979
आंकलन,9
करे.,105
पिनाकी,1
मिश्रा,209
पहली,1005
बार,3066
समस्या,296
सात,305
आठ,226
झेल,43
हमारी,415
बातों,164
ध्यान,480
लंदन,164
स्माग,1
हालात,363
रखना,153
लोगों,4330
मौत,1457
इसलिए,979
फौरन,111
कदम,550
उठाए,126
जाने,2220
प्रतिमा,62
विसर्जन,16
हादसे,271
दुर्घटना,99
घटनास्थल,83
ही,11010
घायल,582
धनबाद,6
रांची,58
रेफर,39
झारखंड,224
गिरिडीह,4
जिले,997
बगोदर,1
स्थित,482
जीटी,6
रोड,259
रविवार,616
होने,3739
खबर,754
हादसा,96
सरस्वती,19
उस,1640
वक्त,1034
अनियंत्रित,4
ट्रेलर,247
रौंद,2
दिया.,2037
बताया,3378
जाता,1470
स्थानीय,371
संतुर्की,1
प्रथमिक,1
विद्यालय,46
बच्चे,626
ग्रामीण,105
प्रोसेशन,1
मूर्ति,66
ले,1394
मैजिक,5
धक्का,40
मार,576
दुकानों,73
क्षतिग्रस्त,27
मरने,107
वालों,562
शिक्षक,69
छात्र,446
शामिल,1804
मौके,759
पहुंची,310
पुलिस,7430
जांच,2161
अफरातफरी,15
मच,110
ड्राइवर,220
खलासी,3
फरार,428
गए.,1342
ट्रैफिक,58
जाम,76
गया.,2784
लीड,122
एक्टर्स,78
दिखेगी,7
काली,58
फिल्म,4851
मुगल,10
रणबीर,285
कपूर,1052
सुशांत,235
सिंह,3399
राजपूत,155
रोल,419
खबरें,233
आ,2196
गुलशन,66
कुमार,1455
बायोपिक,77
मिलने,823
खबरों,195
एक्टर,575
नाम,2285
सामने,1940
रिपोर्ट्स,163
मुताबिक,1539
बेटे,558
भूषण,56
आमिर,347
खान,1763
प्रोडक्शन,107
बन,753
अक्षय,280
कास्ट,57
खबरे,5
हैं,6111
शूटिंग,441
