halfLetter,frequency
श्,8763
त्,27965
क्,36081
स्,38560
म्,6077
प्,27013
र्,53692
द्,11370
न्,18489
ट्,12900
ल्,18181
थ्,557
ष्,6047
ध्,3943
ख्,4897
ग्,9424
ब्,5321
च्,5014
ड्,2286
फ्,5726
ज्,6847
व्,3203
ह्,465
ञ्,1
भ्,481
ठ्,46
घ्,79
ण्,154
य्,71
उ्,1
ु्,13
ी्,2
ू्,7
छ्,3
े्,2
ि्,24
ै्,3
ृ्,2
ढ्,4
झ्,4
ङ्,1
