matra,frequency,probability
ा,3236.0,0.2401840718473985
ि,1743.0,0.12936985081273658
ी,1114.0,0.08268388629110072
ु,3227.0,0.2395160691753878
ू,438.0,0.03250946337118682
े,695.0,0.051584650783047574
ै,180.0,0.013360053440213761
ो,408.0,0.03028278779781786
ौ,455.0,0.033771246196095894
ं,1476.0,0.10955243820975284
ः,296.0,0.021969865657240406
ँ,0.0,0.0
ृ,205.0,0.015215616418021228
