matra,frequency,probability
ा,10.0,0.5882352941176471
ि,0.0,0.0
ी,0.0,0.0
ु,1.0,0.058823529411764705
ू,0.0,0.0
े,0.0,0.0
ै,0.0,0.0
ो,4.0,0.23529411764705882
ौ,0.0,0.0
ं,1.0,0.058823529411764705
ः,1.0,0.058823529411764705
ँ,0.0,0.0
ृ,0.0,0.0
