monogram,frequency
न,907
द,117
.,163
आ,1214
स,1
व,153
ऐ,6
ए,65
ई,9
र,1
झ,1
ल,1
क,5
ओ,16
।,7
ब,3
ॐ,2
ज,1
ह,2
म,1
ं,1
अ,3
ख,1
उ,1
ग,1
छ,1
ट,1
