swar,frequency
अ,32529.0
आ,29116.0
इ,29536.0
ई,20569.0
उ,23901.0
ऊ,828.0
ए,44825.0
ऐ,3218.0
ओ,4394.0
औ,18246.0
अं,2226.0
अः,0.0
ऋ,167.0
