ending,frequency
दिया,1138
गया,1571
है,21418
हुआ,352
हैं,8981
बातचीत,2
थी,2672
की,867
जानते,4
चाहिए,605
करेगा,101
बनाएंगे,9
करेंगे,365
बांटा,1
कराए,8
सकती,42
बीजेपी,2
कहा,73
जीतें,1
किया,1100
था,4020
जाएगा,596
मिलेगी,62
विरोध,1
,234
करे,62
मिलेगा,102
थे,1928
करेगी,126
थीं,335
बचाव..,1
से..,1
रखें,38
होगा,620
पहनें,4
दें,102
करें,246
लें,72
रहें,34
रहेगा,92
होंगी,50
लाएगी,5
करता,16
लिया,400
निभाया,3
पहुंचीं,16
पहुंचा,26
पहुंचे,130
होगी,481
मिले,78
लगे,100
गए,733
दी,666
कही,33
दीजिए,19
देता,7
देंगे,149
करना,14
अप्रवासी,1
साधा,30
आए,142
भारतीय,1
रहा,206
होती,27
आएं,8
दिखाएंगे,3
इसमें,1
बोला,26
दिखे,27
रहे,244
रखेगी,4
सके,172
एच.के,1
बी,3
हों,50
ए.के,8
एम.एस,1
जाए,241
गई,1025
निभाएंगे,8
आएंगे,102
नहीं,260
बुझाई,1
हो,223
बनाया,46
हैं..,22
बनवाएं,1
मिलता,7
लगाए,30
होंगे,206
मिलेंगे,31
पाएंगे,59
सकेंगे,46
मौका..,2
जाएगी,308
जश्न,1
हुए,148
मारा,24
उठाएगी,8
मि,2
निकालेंगे,3
शुभकामनाएं,5
सकते,51
होता,46
में,60
मिला,120
जीता,12
लगा,85
मोदी,5
रही,137
हुई,334
कनेक्शन,3
के,29
सवाल,2
लिए,61
सका,33
गईं,78
सप्लाई,1
सकेगा,33
भी,38
समझाया,6
दिलाई,10
रखा,40
उतरेंगी,2
ली,215
बरपाया,1
चलीं,3
खान,8
आएगी,37
जाएंगे,152
किये,2
कराया,35
लिये,2
दबोचा,9
लियोन,1
आएंगी,62
रेड्डी,2
पाएगी,12
कम,3
कानून,3
मनाएंगे,3
निकले,24
वजह..,3
डाली,24
आई,81
साथ,17
निकला,21
लगी,70
चली,21
बैन,1
समझा,7
आया,113
सकता,84
घेरा,5
बताई,34
खेल,1
पाता,13
सराहा,3
उतारेगी,5
मो,15
की..,1
चला,19
रहना,4
निकलना,1
और,3
गुड,1
जारी,2
टिकट,1
बुकिंग,2
जाएंगी,35
लगेंगे,9
मिली,104
फाजली..,1
सरताज,1
सिंह,9
फरवरी,1
और.,1
करवाया,12
कुछ..,1
लुक..,2
जाए..,2
पेंट्स,4
हराया,10
पाए,42
वोट,4
उठाए,11
करते,31
पहुंची,48
देखा,19
हूं,368
चालाकी,1
चलाया,7
डेटा,1
पूछा,13
खेलेगी,2
शादी,2
चलेगा,23
जाओ,5
रु,51
दत्तो,1
जिए,1
रहेंगी,20
सिमरन,1
जाऊं,3
दिखाई,13
शरीर,1
मुहर,1
अधिसूचना,1
नियुक्ति,1
लेंगे,58
दिलाएंगे,6
बने,45
संभाला,9
भेजा,17
मारापीटा,1
दिखा,11
भोगा,1
बैठी,2
देगा,58
कराई,37
कहेंगे,4
किए,108
लगेगा,36
कीजिए,10
चलाइए,2
सुनाई,19
फायदे,4
है..,38
दिव्यांका,1
वर्कआउट,1
मोटिवेट,1
चाहतीं,6
एस.के,1
कार्रवाई,1
कसेगा,1
दे,20
बताया,91
रहेंगे,72
सोचता,2
देखिए,11
कुमार,5
जीते,13
यादव,2
जुटाएगी,2
सच,2
सच्चाई,2
दीं,23
निकली,18
बगदादी,2
रहेगी,37
बनी,14
पाई,38
पहने,1
रुकेंगे,3
गिनाए,1
मिनट,4
लगाएंगे,6
रखीं,4
लीं,3
बनाए,23
उतारा,5
लूजर,1
कहानी,5
एजुकेशन,1
आर.एन,2
जातीं,1
चलेंगी,4
लेंगी,10
करेंगी,60
लगाया,41
डिजाइन,1
बंधेंगे,1
मनाया,13
उतरे,9
टूटे,1
लेगा,19
बनाएं,8
पी,39
गांधी,3
रहिए,4
ट्रेलर..,1
शिवाय..,1
शिवाय,1
आएगा,51
वापसी.,1
उपाय,2
मिलवाया,3
दिए,111
बदले,6
खुला,6
सकें,57
बाहर,2
लगेगी,12
मारोगे,1
जताया,14
कहें,1
रुकी,3
कुचला,1
पटका,1
खेला,8
कीं,11
बताएंगे,9
गुजरा,2
अंगूठी,1
पाएगा,15
स्थापना,1
मनाएगी,1
कराएं,5
लेगी,12
एक्टर,2
मरे,2
मिलाया,3
क्या,27
हां,3
महल,3
गिरे,1
लो,5
तस्वीरें,2
रोड,1
बिल्डिंगें,1
समझिए,1
मदरसा,1
मैदान,1
डाला,54
बुलाया,21
दागे,6
बधाई,6
निकाला,21
चाहेगी,1
बटोरे,1
बचाया,4
चुनी,3
बुमराह,1
बेनेट,1
होतीं,3
लगती,5
हुईं,36
सुझाया,1
बनाई,22
सेजल,1
रहीं,46
दिखेंगी,9
पहुंचेंगे,12
तैयारी,2
सुनाया,13
डी.पी,2
एजेंसी,1
कैसे.,1
दिखेगा,9
जाएं,53
जी,9
रखी,30
मिलती,5
बनायेगा,1
डा,2
प्रियंका,1
एम.एम,3
देगी,54
केरोसीन..,1
अपनाई,2
रहो,3
रहते,4
मानते,6
बोले,4
का,43
बनेगी,9
दिखाएगी,1
निभाएगा,1
मानती,1
