matra,frequency
ा,406104.0
ि,181069.0
ी,213826.0
ु,65542.0
ू,29004.0
े,317777.0
ै,67129.0
ो,129404.0
ौ,9764.0
ं,183447.0
ः,292.0
ँ,59.0
ृ,2123.0
