vyanjan,frequency
क,337565.0
ख,25141.0
ग,71066.0
घ,6168.0
ङ,0.0
च,35412.0
छ,9514.0
ज,83663.0
झ,2965.0
ञ,461.0
ट,51978.0
ठ,5661.0
ड,34059.0
ढ,3105.0
ण,7728.0
त,127577.0
थ,26819.0
द,93318.0
ध,18695.0
न,195783.0
प,113342.0
फ,27482.0
ब,84766.0
भ,29484.0
म,160250.0
य,96918.0
र,304528.0
ल,146886.0
व,76623.0
श,42238.0
ष,12696.0
स,190158.0
ह,177529.0
