word,frequency
घरेलू,55
विवाद,326
में,38771
पत्नी,446
ने,21463
पति,272
को,24445
मारा,59
चाकू,67
दक्षिण,152
पूर्वी,68
दिल्ली,2303
के,50812
जंगपुरा,2
इलाके,584
गुरुवार,322
देर,275
रात,574
वर्षीय,203
एक,8301
अफगान,20
नागरिक,115
पर,14842
उसकी,769
रसोई,10
इस्तेमाल,424
होने,2050
वाले,1882
से,21277
हमला,425
कर,8034
दिया.,1129
इसमें,600
वह,2202
गंभीर,252
रूप,652
घायल,325
हो,4822
गया.,1562
पुलिस,4074
मामला,672
दर्ज,999
करके,446
जांच,1223
रही,3597
है.,21181
वरिष्ठ,247
अधिकारी,361
बताया,1763
कि,14527
ढाई,38
बजे,383
बीच,1406
किसी,1499
हुआ.,337
उसके,1285
बाद,4944
अजीजा,2
अपने,3172
समीर,8
पेट,42
वाला,507
मार,249
तुर्कमेनिस्तान,1
की,31558
रहने,619
वाली,1084
उन्होंने,3081
पास,1050
अस्पताल,482
भर्ती,230
कराया,247
गया,3714
वहां,720
स्थिति,294
नाजुक,17
बताई,101
जा,2849
आरोपी,809
निगरानी,63
रखकर,55
केस,607
भी,10109
पूछताछ,303
उत्तर,658
प्रदेश,932
का,15940
सबसे,1017
संकट,118
है,9742
राजनाथ,137
सिंह,1743
चुनावी,205
मौसम,155
सभी,1111
दलों,179
नेता,976
धुआंधार,5
प्रचार,133
करने,4308
जुटे,45
हैं.,8864
बीजेपी,1944
हाई,210
प्रोफाइल,16
नेताओं,453
लगभग,220
रैली,195
चुके,504
यूपी,450
मानते,79
वर्तमान,61
समीकरण,45
उनसे,286
खास,414
बातचीत.,2
जहां,881
प्रतिदिन,20
हत्या,813
होती,509
कई,2005
रेप,304
घटनाएं,60
और,17996
घटनाओं,95
बात,2065
दो,1443
डकैती,9
हैं,3379
उस,906
बारे,905
कानून,500
व्यवस्था,189
कोई,1874
करता,553
तो,4570
यह,3384
दावा,408
पूरा,443
तरह,1467
खोखला,3
जनता,554
गुमराह,22
बहन,142
जी,353
राज,183
कभी,424
सही,221
नहीं,7323
थी.,2654
किसने,34
गलतफहमी,13
पैदा,169
भाजपा,293
सरकार,3056
दौरान,1499
अच्छी,218
मामले,1850
समाजवादी,178
पार्टी,2043
बसपा,92
ही,6179
प्रजापति,23
हम,1037
लोग,1289
षडयंत्र,3
रचना,11
जानते.,4
मगर,193
मैं,1070
कहता,48
हूं,304
चरित्र,24
संबंधित,97
चार्ज,27
लग,275
जाए,176
प्राथमिक,25
तौर,532
सिद्ध,17
उसे,1104
तुरंत,147
पद,309
त्याग,6
पत्र,165
दे,793
देना,231
चाहिए.,580
सुप्रीम,419
कोर्ट,1217
आदेश,306
आए,511
ये,3066
जान,257
लीजिए,15
बन,429
रहा,3067
ऐसे,1061
करेगा.,98
बचाव,72
क्यों,359
अखिलेश,313
बीपी,9
उनको,203
दिखाई,176
देता,170
तिलमिलाहट,1
होगी,229
जो,2000
हार,172
रहे,3540
करते,1753
थे,559
बनाएंगे.,9
पूरी,694
आश्वस्त,23
पूर्ण,64
बहुमत,88
हासिल,306
करेंगे.,363
इन,1238
लोगों,2506
समाज,211
विभाजन,16
अपनी,2128
जाति,84
मजहब,15
नाम,1269
बांटा.,1
इन्होंने,26
फरमान,27
जारी,961
कराए.,7
मानना,132
विचारधारा,43
इंसान,69
नफरत,35
सकती.,42
हिंदुस्तान,74
सेकुलर,14
बीजेपी.,2
देश,1549
बदलने,71
राजनीति,304
करती,452
पंथ,1
भेदभाव,30
ना,356
करें,233
जीत,415
सकते,732
सपा,188
न,907
आधार,375
आदर्श,52
या,1088
सिद्धांत,9
पीएम,682
कहा.,73
साथ,4518
होना,311
चाहिए,271
सबको,57
देखना,133
विपक्ष,209
खिलाफ,1433
मुस्लिमों,47
मन,123
आशंका,150
की.,858
भारतीय,857
लेकर,2065
अब,2404
नजरिया,9
बदल,165
हमारे,347
मुस्लिम,258
मंत्री,1048
जिस,453
मौका,202
मिलता,92
कैंडिडेट,32
चुनते,4
जगह,461
मानता,26
वर्गों,19
प्रतिनिधित्व,25
आगे,572
कुछ,2179
तैयार,422
करेंगे,167
चुनाव,1555
जीतें.,1
इस,8487
समय,1023
प्रत्याशी,70
इसलिए,538
ऐसा,799
फैसला,509
किया.,1089
शाहनवाज,9
मुख्तार,38
