halfLetter,frequency
त्,15146
क्,18976
र्,28972
ल्,10186
स्,21194
ष्,3342
न्,10044
व्,1701
प्,14428
च्,2451
द्,6277
श्,4707
ख्,2617
ब्,2973
ट्,6854
म्,3379
ध्,2029
ज्,3775
ग्,4901
फ्,3218
ड्,1206
ह्,211
ठ्,16
भ्,259
थ्,288
य्,42
ण्,79
घ्,55
ि्,5
ु्,5
झ्,1
ञ्,2
ू्,2
छ्,2
े्,2
उ्,1
ी्,1
