matra,frequency,probability
ा,133.0,0.30296127562642367
ि,99.0,0.2255125284738041
ी,2.0,0.004555808656036446
ु,87.0,0.19817767653758542
ू,25.0,0.05694760820045558
े,14.0,0.03189066059225513
ै,4.0,0.009111617312072893
ो,13.0,0.029612756264236904
ौ,6.0,0.01366742596810934
ं,17.0,0.0387243735763098
ः,11.0,0.025056947608200455
ँ,0.0,0.0
ृ,28.0,0.06378132118451026
