monogram,frequency
न,1269
आ,1931
.,263
व,310
ए,88
द,205
ई,16
ओ,14
ऐ,2
अ,11
क,5
ख,3
ब,6
।,18
उ,1
ग,1
ह,3
छ,1
ट,2
औ,4
घ,8
थ,1
ा,1
र,1
