vyanjan,frequency
क,519803.0
ख,39151.0
ग,109187.0
घ,9814.0
ङ,0.0
च,55156.0
छ,14617.0
ज,128379.0
झ,4670.0
ञ,724.0
ट,81451.0
ठ,8629.0
ड,53132.0
ढ,4856.0
ण,12126.0
त,196691.0
थ,42247.0
द,143328.0
ध,28787.0
न,300164.0
प,174831.0
फ,42507.0
ब,129655.0
भ,45317.0
म,245995.0
य,151576.0
र,470763.0
ल,226493.0
व,120030.0
श,65444.0
ष,19666.0
स,293422.0
ह,271314.0
