ending,frequency
है,32844
पहुंचीं,26
कहा,123
किया,1728
थीं,519
दिए,151
आए,188
था,6283
हुईं,47
थी,4084
होगा,1009
हैं,13645
रहीं,58
माना,11
आये,6
गया,2415
दी,1087
निपटे,1
करे,87
सकता,147
है..,51
रखा,63
आएगा,82
लगाएगी,4
लगेगा,46
करेगी,241
जाएगा,943
जाएगी,473
सके,241
देंगे,205
होगी,818
अनिवार्य,1
देगा,75
कराई,45
करेंगे,542
आएंगे,198
रचाई,3
थे,2986
पहुंचे,195
लगीं,23
बनी,19
की,1378
,386
हूं,560
जाएंगे,267
लिया,651
डाला,93
चलाया,6
मिला,198
चलाईं,5
हुआ,544
हुई,511
मारा,31
हुए,218
जाए,364
करती,11
करें,333
लौटाएगा,1
करते,39
गए,1131
साधा,62
होंगे,375
हो,369
चाहिए,882
करेगा,156
मिलेगी,106
फोन,5
पाएंगे,81
गई,1552
दिया,1753
रहा,285
दिखा,21
करेंगी,81
गईं,127
चलेंगी,1
मनाएगा,3
चलेगा,48
बोला,49
किए,150
ली,304
बनाए,25
मिलेंगे,43
खेलूंगा,2
लेंगे,94
आया,157
करोगी,1
होंगी,88
मनाया,16
महत्व,1
क्यों..,1
बनाएं,5
दें,147
रखें,55
जलाएं,3
लगाएं,29
लौटे,11
लगा,125
सकेगा,53
मिलेगा,174
सकेगी,30
चाहूंगी,7
बताऊंगी,1
चाहतीं,6
लगे,159
सकें,78
नहीं,362
सौंपा,10
आएंगी,104
कैसे,8
में,94
सका,53
बताया,132
दिखाया,31
घूरा,1
लिखा,12
मिली,137
सौंपी,11
उठाएगा,5
रहे,372
लिखे,2
बने,80
खास..,1
मिले,109
लागू..,1
बस,5
डालिए,3
से,37
का,64
पाएगी,19
के,65
सोचें,5
बनाइए,2
कीजिए,15
सोचिए,1
जनाब,1
क्यों,17
लिखें,2
चलाइए,1
बनाया,70
समस्या,1
गए..,1
स्ट्रेस,1
सोचते,3
जाओ,6
सुलझती,1
कही,67
कराएं,7
डाली,40
रहकर,1
जमीन,2
लगता,5
आते,10
देखें,16
देखे,5
चाहते,22
लो,11
रखी,46
अवंतिका,1
रहेगा,141
देखेगी,3
हूँ,5
व्यक्तित्व,1
आई,117
जीत,1
होती,33
होते,28
आता,12
जाते,21
मौका,2
सकेंगे,82
रहना,3
दीजिए,32
लें,117
डालें,9
जाएं,72
सहेजें,1
में..,11
व्रत,2
पहुंची,83
चुनी,3
दिखाए,11
बताएं,10
भिंडर,1
लगी,108
दबोचा,16
धरदबोचा,7
बताएगा,4
ऐ.के,1
बातें..,16
जाइए,8
लिए,76
उठाया,47
देगी,77
छुआ,9
