swar,frequency
अ,50237.0
आ,45722.0
इ,45861.0
ई,31616.0
उ,36536.0
ऊ,1305.0
ए,68927.0
ऐ,4629.0
ओ,6756.0
औ,27899.0
अं,3346.0
अः,0.0
ऋ,251.0
