triagram,frequency
कान,45
में,59471
रही,5508
हैं,5105
लिए,10356
है.,32500
कुछ,3329
सीट,771
बाद,7499
नोट,251
बैग,73
रखे,92
रूप,1060
आकर,198
साथ,6958
लोग,1856
नजर,1493
मदद,735
तौर,852
हाथ,602
आए.,188
बता,1313
दें,1068
था.,6233
थी.,4063
रहे,5363
नाम,1960
आने,1136
इसी,1116
इसे,1081
संघ,292
साल,3303
केस,907
जेल,751
लगे,449
हटा,118
चिट,19
रहा,4620
फोन,552
सईद,123
भरे,68
कहा,7503
दिन,2009
गृह,458
दी.,1083
ढंग,66
आया,782
एवं,291
मैं,1635
देश,2309
ऐसे,1520
कोई,2866
हुए,4930
गया,5812
ठीक,435
मिल,759
अाज,1
सभी,1803
खूब,236
तरह,2284
पास,1715
तभी,283
हूं,440
रखा,573
आईं,71
वजह,1365
हाई,337
अंग,14
काम,2226
लंच,53
जमा,165
यदि,240
लाख,1008
रकम,101
गले,116
बार,2509
फिर,1978
पेश,526
किए,1319
कुल,454
तहत,765
खास,590
बात,3353
भाग,213
जाए,258
हुई,2241
छूट,124
आती,288
पाए,169
अदा,83
कदम,476
खबर,644
बीच,2112
हुआ,2025
पैन,11
नकद,21
आधी,58
रात,874
जिस,688
मीर,33
छपी,35
थे.,2967
तेज,354
रेल,203
देर,424
भगत,37
सफर,123
बजे,639
तीन,1364
मनन,4
समझ,187
लगा,969
उसे,1763
की.,1365
टीम,1075
दवा,44
अभी,1156
बने,384
कूल,26
दिख,285
हाल,830
ऐसी,615
तरफ,764
नया,440
पीट,27
लाउ,1
खुश,182
आगे,906
अगर,1560
सोच,197
असर,311
चलन,26
नकल,16
शोध,91
पता,915
चला,495
गलत,377
दिए,854
अबु,30
ढेर,123
लगी,360
चार,770
डाल,146
घेर,64
जाल,43
मगर,332
सफल,199
अली,357
शाह,780
बहल,22
एंड,193
पीस,21
दंड,36
साफ,657
सभा,162
कौन,332
गए.,1119
गाय,54
ऐसा,1276
ईयर,31
लौट,128
हिल,17
खान,1454
दिल,301
हो.,350
बैन,121
सेट,162
लुक,232
लीक,87
सीन,146
हवस,45
जान,423
शहर,364
राम,635
रेप,661
शाम,456
उसी,375
मां,648
चली,168
गई.,1540
बंद,726
होश,69
चुप,54
थान,1
सजा,502
अपर,34
रवि,75
जून,329
जोर,159
पते,16
रुख,135
रोक,350
हित,56
हों,79
समय,1589
बना,805
छाए,16
रेड,96
कलर,57
सोश,1
गजब,19
नेट,30
जंच,1
मेल,67
राय,324
बीस,19
ओपन,50
एयर,117
शरद,148
कभी,608
मूल,111
ढाल,8
कही,230
नही,92
जंग,161
पति,469
कतई,19
मुझ,27
छीन,38
ली.,303
झेल,42
लीग,31
खेल,279
पैट,2
जोश,24
मैच,304
शूट,118
तुम,104
दाम,99
जगह,703
करण,263
बनी,380
गुड,38
सनी,102
फिट,58
यही,579
थीं,178
रंग,225
लाई,32
खली,5
ऊपर,263
आइए,80
दूध,64
खीर,6
सोम,12
जाप,29
शिव,68
पाठ,21
रोज,151
होम,121
धूम,30
लीड,114
रोल,394
सही,393
उरी,74
पार,192
रखी,269
रैम,52
फेस,22
मिड,30
फुल,27
बैक,30
मचा,101
थमा,11
फीट,35
कैब,91
पिक,6
ओला,12
उबर,27
मना,180
गोद,59
गेट,102
देख,373
चले,178
घुस,66
वार,98
मौत,1218
रोष,15
नगर,365
पाई,170
जला,52
माह,126
सास,35
झूल,8
बरी,51
बिग,355
मात,58
वीक,14
गेम,57
गिल,47
अलग,605
आता,227
बदल,245
खुद,989
दुआ,13
विश,27
डूब,22
चीन,642
रूस,170
कमी,204
बहन,253
भाई,489
उठा,173
पेज,79
अटक,14
भेज,341
मरे,11
घुट,2
सकी,40
सका,49
गैस,74
हेग,3
हंस,27
राज,268
काल,32
चीफ,214
ऐंड,25
कोल,4
भनक,20
वोट,597
लता,47
चंद,50
अंत,122
अहम,436
मान,121
बस.,5
गये,83
से.,34
शौक,34
का.,60
जरा,42
के.,64
भूल,92
योर,4
लाल,240
जंप,4
लिख,78
कलम,32
जिन,218
पैठ,13
लोन,124
याद,283
फेल,49
शीट,8
सीख,47
बेच,47
यूथ,33
बहू,46
गुल,37
बेव,2
वेब,67
पेस,5
शोज,48
आते,301
लो.,11
करे,60
फेम,43
चीज,117
खोल,102
फंड,98
कहर,67
रतन,15
हां,45
जीत,611
करन,22
आई.,116
ढाई,64
हार,240
नाक,36
अदद,7
यूं,78
दशक,124
लहर,61
उभर,15
भले,194
साध,20
गैर,105
जता,38
शीत,2
पहन,44
आपस,61
फंस,53
सूख,15
नमी,20
दूर,404
भोग,13
फूल,21
सुत,1
कार,514
सटे,93
मोर,1
सबक,37
बाज,16
पैड,16
दौर,225
फौज,58
मंच,207
नदी,110
घूम,32
जहर,71
पीठ,99
रिट,1
यौन,208
देव,59
सदी,22
यूज,66
जेन,4
कुम,1
टैब,5
बगल,29
गीफ,1
कूद,32
मृत,91
इतर,28
काट,132
गठन,117
बूथ,39
मतो,1
वैन,65
शोर,66
भीड,2
खां,22
सात,270
भून,20
घाट,73
लाए,44
खून,168
गिर,113
नशे,103
जीभ,10
करा,198
सिर,193
चमन,3
हरि,7
मदन,22
वीर,42
युग,25
लाभ,130
विद,25
फूड,30
शेख,72
ताज,34
तंग,42
राव,110
लूट,147
वें,7
बसु,13
सके,81
ठोस,42
आदि,88
इंच,33
बजट,423
बिक,19
बहस,184
असम,230
हरी,36
एके,28
गति,48
छठे,20
टाल,37
कोच,93
हिट,130
सैफ,167
डरी,14
वेद,5
संत,47
गला,94
अमल,42
को.,16
बेस,54
पाक,107
बोल,185
कसा,31
पोप,17
डेट,128
किस,235
किन,26
एकल,6
छठी,23
अंक,95
शटल,3
शाट,2
पहल,59
लचर,8
रास,18
हीं,11
मिस,54
रेट,36
माय,20
चेक,78
जूझ,59
बचत,27
बोझ,41
मधु,43
बाल,171
कौर,93
फैल,88
पैर,91
अजय,199
रहम,7
कदर,37
मार,461
आधा,68
खफा,33
पिच,25
जगत,70
छोर,11
गुण,21
गहन,16
शेड,9
परत,4
बैट,7
गौर,64
नबी,26
महज,205
रोड,193
घने,18
छाई,21
चरण,184
पेड,12
लोक,84
भाव,62
सिख,87
आये,28
हूँ,10
मजा,37
कैट,7
राई,3
सेल,151
चुन,30
अबू,100
किट,17
है।,41
लेख,34
पैक,23
पोल,155
मेक,13
शेर,28
उलट,27
जी.,14
सुन,56
सदन,184
बिल,231
कमर,38
कैद,106
मूड,46
महक,9
आभा,7
लैब,39
चिप,7
शपथ,216
तलब,35
बंट,18
एनए,3
कैफ,77
मूव,3
नें,18
हनी,7
गगन,6
आउट,78
भरी,97
बरस,14
टूट,74
रचे,3
बसे,17
भी.,68
वही,205
आयु,27
कसी,7
चोर,85
छिप,9
फुट,21
पटी,2
मैन,19
हरा,28
शमी,12
धवन,84
जुट,65
हेड,48
फेक,27
पाल,47
भवन,101
पवन,57
चयन,57
आहत,44
दुख,89
उतर,99
पुल,82
शगल,4
धूल,48
कोड,59
मीम,11
जिल,6
डील,94
असद,8
बुआ,12
गली,63
चाय,89
आना,113
आधे,35
एडन,2
शाओ,2
रजत,17
मेन,18
ईशा,57
जेड,12
कैश,106
दान,38
पीए,15
मैप,19
सवा,32
देन,20
साख,21
कोष,30
फसल,69
तेल,222
नमो,15
भूख,60
कौल,10
माफ,87
आशा,43
टूक,10
अंश,14
बचा,94
रेज,14
पनप,11
नाव,28
जे.,11
पी.,55
किल,2
खुल,60
खाई,12
पलट,35
विन,23
सरल,12
ईगल,1
भीग,5
वजन,119
यंग,20
फैट,29
खपत,27
कहे,40
ईंट,11
तथा,195
सहा,1
बोस,80
गीत,37
मीत,1
वेव,1
सपा,314
आजम,72
जेट,62
ईडी,50
गाद,7
दास,130
खेर,79
एआर,4
अाए,1
जिम,52
सरभ,2
हंग,2
फजल,25
शेष,20
डीर,2
दखल,51
नबम,1
सीज,11
इधर,26
उधर,64
चैन,28
खैर,18
ओवर,74
किम,79
ले.,22
आलम,52
बेल,32
दून,2
पेट,89
दो.,24
रमा,3
डीप,2
नेक,4
संग,203
आबे,16
शरण,32
चोट,131
सहज,22
कला,35
लें,60
बसा,14
सतह,14
खौफ,44
डर.,3
फैन,117
आपा,10
मीट,38
चूक,42
अति,32
बजा,7
रूट,44
राह,78
जगा,7
ऋतु,26
भरा,78
अटल,78
धूप,23
दाग,28
घोल,19
चमक,18
पोछ,1
नमक,7
पान,11
पशु,25
नाथ,40
शौच,37
खेत,82
कलह,21
लीज,4
लाश,188
लेब,2
अरब,144
मिग,1
पोत,9
तैर,4
एला,1
तार,46
इयर,2
ताऊ,14
असल,93
गईं,95
अने,1
कमा,17
उठे,23
घाव,7
वैध,22
नयी,8
तरस,16
पीछ,6
पचा,7
योग,152
छाप,15
घटी,28
लिप,3
काय,3
डेड,14
बाग,155
डटी,6
मजे,15
हैः,21
टैप,6
रुप,22
गयी,80
माल,33
दी।,1
सूद,32
रौब,1
तूल,32
आएं,20
जिद,20
फनी,34
रेस,43
वतन,9
डटे,8
शूज,5
कुक,34
लैस,36
चैट,58
बकर,12
धमक,7
साठ,5
रुक,33
कटा,12
रीस,1
मसल,1
टैग,28
एएम,3
सना,20
तले,48
रूम,90
आयी,21
बटन,25
पर.,27
खपा,3
अटी,1
लेह,8
ताश,1
औरत,16
अथक,3
बाथ,1
गरम,11
जूं,3
खेप,23
जली,17
आशय,8
वाई,7
तो.,3
रील,8
माई,24
गुट,64
रजा,34
शोक,35
ओपी,12
सजे,9
हवा,119
एमए,6
चूर,7
फीस,70
लाग,1
बोर,18
आदर,7
आनी,15
सील,47
थीम,22
लिव,15
पदक,69
झूम,8
टिक,40
कसे,3
रूख,27
दंग,20
मील,32
साई,7
मजह,2
तकत,1
थाम,17
चौक,27
औंस,8
डार,8
नरम,20
उफा,2
लेग,10
छठा,18
पोज,10
जगन,14
एन.,11
दीप,8
पीर,4
घास,5
सदर,32
बाम,1
खोज,47
आदी,17
रमन,24
लकर,2
झूठ,74
अनम,1
मनी,43
वहन,12
खोट,1
वेट,11
जैन,77
हाय,10
पूछ,44
आहट,22
जाग,13
सेफ,13
आर.,19
नोक,8
तीस,31
शशि,45
मचे,10
छवि,78
कमल,51
जाट,110
सबब,19
डरे,17
जाम,59
दूत,14
घटा,19
अमन,22
यहा,8
मौज,5
धरे,6
हरे,12
सीओ,11
हंट,8
जनक,8
उपर,18
सैर,14
सुख,17
आयो,1
रे.,1
लघु,23
उमर,108
तान,3
वां,7
बेन,17
यमन,18
मिट,3
टेक,24
ऐपल,19
पिन,5
जाओ,10
रईस,8
गजल,18
ठोक,8
चलो,8
तंज,70
जैश,65
आका,15
दाल,17
रोग,31
आशष,1
एवज,17
दे.,29
फेज,20
फूट,21
समन,52
अपन,2
ढंक,3
कवर,40
ढील,7
ऋणी,1
कृत,1
टूर,21
एली,9
दोष,20
जेस,1
आदत,46
बीड,4
आंच,10
शलभ,3
भगा,11
कथा,25
महल,19
सदा,6
पैग,3
जेब,35
बचे,45
डी.,3
मो.,18
बाब,1
था।,13
खोए,8
औसत,71
दबा,28
रभा,1
ठगा,5
नहर,29
नवी,6
लकी,25
जूम,2
पाप,13
नाग,8
शुभ,26
मास,6
जलम,1
उमस,7
एटा,21
गरज,11
कपल,54
बैठ,49
सघन,12
भीख,10
मनु,23
रफा,2
दफा,11
चरम,22
वी.,6
धार,16
मची,17
घिर,9
यूए,1
लोब,1
दबी,9
इला,3
सुर,18
बीत,36
डरा,19
बढा,6
दुक,1
डबल,42
टोल,38
टूल,15
घूस,6
खरे,13
जोस,10
शेफ,5
खाक,11
राख,6
रजक,1
पलक,17
भेद,8
खलल,6
उचट,2
कोर,27
अमर,73
हसन,22
इनु,1
नये,40
रमण,3
केई,1
दमन,8
सूट,17
चाह,35
एपी,7
लटक,18
भला,33
चाल,33
नचा,2
कवि,31
सन्,10
ही.,24
...,24
नील,14
जया,51
अनु,26
गाई,1
बाप,27
राग,12
रूफ,2
एअर,27
लि.,6
भार,4
मेस,6
दशा,11
ताल,10
सजी,17
रु.,47
हटी,1
बीफ,46
बैल,6
बशर,6
बूछ,2
बीट,2
हौज,6
रसद,3
फेर,14
लीं,1
उठी,13
रचा,19
उना,4
खाल,8
बैर,2
धुल,10
घोर,20
भीम,27
आला,42
महू,1
खोई,4
मंश,1
टंक,2
ठकर,1
उदय,26
खरा,11
गुम,7
बची,25
ढली,1
भेष,8
विज,16
सुध,6
मणि,4
सनम,4
बेड,20
वजस,1
शाद,3
अचल,17
डेढ,1
बूट,3
शेव,7
लीव,6
सैम,5
खोद,1
पात,7
बास,1
हेट,6
यशो,1
रूल,10
बुक,99
ठंड,7
केट,8
लजर,1
ढका,6
नशा,17
शेप,16
टिम,12
पेच,8
धुत,15
शान,12
सोल,15
ललक,3
बेग,9
देह,28
ऊना,22
हुऐ,4
सेक,1
वेष,1
आंख,66
घटे,1
धोए,3
डेथ,29
दया,37
ने.,23
दफन,8
भेल,1
आपे,3
खाए,7
उदस,1
भाऊ,2
बाई,31
मोड,17
टाई,4
ऋषभ,6
वचन,15
घोष,19
पटक,2
अता,4
ऐना,4
आदम,2
चाक,9
वैद,4
रोम,3
संस,3
हा.,1
जफर,26
जहन,7
जले,8
जगल,1
आइस,7
कैग,20
नगद,7
एशा,2
मी.,3
मरा,9
भंग,24
धुर,8
दलो,1
पंच,9
वृष,2
मीन,1
हमः,1
एल.,3
सी.,3
झलक,51
नरक,6
कसम,13
भान,1
यश.,1
दशम,1
नवम,1
नीच,2
तिल,4
वलय,1
कंठ,2
आटा,14
मकर,4
लुट,2
ताक,14
फील,14
बुल,1
गोल,23
लौह,5
भटक,10
कैच,24
समा,11
नाई,3
मेड,30
येस,1
कीं,6
बसो,2
शहद,8
जलन,23
महा,6
लात,9
कसर,26
लपक,1
ऋषि,106
सगे,14
ताउ,1
वेल,2
लेन,20
सौर,10
जोन,60
घिस,10
हमे,6
चूज,2
आप.,2
मौन,18
पेय,5
साग,2
रहो,8
उषा,7
गुर,5
दबे,17
नली,1
थार,5
सने,7
उगल,11
पंत,25
वाच,3
सोए,2
बैच,20
खंड,7
मून,12
जीप,17
एसओ,3
करो,24
ना.,1
गजट,3
थोप,4
ठहर,4
पूल,11
रची,39
होन,1
भुज,4
कूच,8
काच,2
ताच,1
सुई,5
छुप,3
एसी,17
साह,5
सेम,4
खरी,4
ठगी,28
हैक,20
डेज,4
सनक,10
दहल,15
बहा,10
बी.,4
औने,1
कीम,1
रेत,14
बीज,10
ओवन,1
सिम,21
टीस,5
नौश,1
समी,2
आलू,34
टहल,3
जनू,1
झुक,6
आसन,10
ढाक,4
ऊटी,6
तरण,14
डीन,7
वैट,34
सेस,16
थका,2
जोक,5
गाए,12
लेक,15
दंभ,2
बिन,32
इरा,15
अवध,16
तोड,1
बडा,3
राड,1
छपे,6
लेट,17
रीच,1
ईला,1
तरक,1
वाल,5
शतक,16
आरा,22
घनी,6
ओर.,2
विष,1
ठाट,1
निक,82
सकर,2
आग.,1
कवच,1
वीं,6
धूस,1
सेव,6
नीम,12
कूट,6
गंध,3
धुन,9
कर.,6
दमक,2
अभय,34
पतन,4
टोन,8
परे,16
थोक,5
फतह,14
पुश,7
धरा,2
छका,1
कतर,9
समर,8
हूल,1
भूत,26
कतल,1
सगी,14
खरच,1
ऊंघ,1
नाच,11
सिह,3
रउफ,2
कलई,6
टीन,5
बाय,6
डेश,1
तीर,20
बनो,1
बटा,1
ओछी,4
ककी,1
केा,1
ईबी,1
कैन,5
साए,4
केक,26
चाव,1
दूं,11
धरी,3
शोम,1
इसव,1
वुड,2
टला,3
गबन,2
सूर,1
सेन,21
दंश,3
लगन,7
सार,3
पेण,2
खार,6
हाफ,18
ढाह,1
दैन,1
जमे,4
ताई,1
एबी,10
नीत,14
झील,28
बौन,1
नाल,1
तपस,4
बंध,15
जोए,2
लीच,7
कोब,1
बदन,6
लेस,6
मदर,4
एना,24
लखन,2
पिट,4
मोह,6
खडड,1
टोह,2
पला,1
डिक,1
एसए,8
एएस,3
एस.,18
जूस,13
रनर,3
गदर,3
सता,9
डैड,2
रघु,7
कोे,2
वेग,1
ठाक,5
लला,3
सबा,9
मेम,3
हीर,3
घटक,8
पका,1
सहम,3
चने,4
अजब,3
ठान,13
वहा,3
फटा,3
बहु,3
शिन,3
सकल,6
छिन,2
पेन,12
पसद,1
खाद,17
बंप,10
नईम,7
कोट,15
जीन,5
अपच,2
भभक,1
थाप,1
शंख,3
मगध,4
खनन,31
टोक,1
थीः,2
डा०,1
नाश,2
शिप,6
पंज,1
दीः,1
चीख,16
गनर,6
नमन,10
हाट,3
अवल,1
हरम,1
शुन,6
काज,2
रैक,6
गैप,7
कटी,2
उगी,1
तकी,3
शनि,16
डिश,3
लास,1
लूप,4
उलझ,15
आईच,1
फोर,5
आनन,4
छान,4
बाघ,19
डंक,3
वास,1
गजे,3
चटा,2
ऊचा,1
सको,1
बुध,13
सैन,4
डमी,8
एमी,3
डोज,8
ओनर,2
दाब,1
ताप,2
डीग,3
रिय,1
भोई,1
पटल,8
ठेस,12
अदन,1
परम,5
।जय,1
मंद,2
धधक,2
कैप,5
इसक,1
फैज,20
मैट,4
साद,1
बोई,2
उमा,10
थके,4
चूम,1
कथन,3
खीझ,2
चिन,5
झाओ,1
रिज,3
उदम,1
सगा,4
वाद,6
धवल,2
चेन,13
टके,2
वरद,1
पूह,1
हजम,1
गाल,13
पजल,2
देय,2
एंव,1
कटे,2
वंश,3
भूप,1
तुक,2
हते,1
घात,16
रैप,23
लुग,1
दाद,4
आईन,1
बाट,2
जोह,2
दफे,3
भील,1
मोल,4
दधी,1
जकत,1
तोप,3
सतई,2
नगा,15
डेल,3
घना,4
वाट,3
गाज,9
कपट,1
बतर,1
जुआ,7
भली,2
उधम,6
वाह,4
धाम,10
हटे,3
ओझा,19
ओमन,2
छुए,3
चहल,11
अला,1
दीं,5
चौर,1
भाप,7
वाम,17
डोम,1
दमा,3
जात,4
कौम,8
भोज,8
ते.,1
चिब,1
दने,2
सरे,6
पंप,51
सेठ,11
अणे,2
करी,2
मटर,4
हना,2
ओरल,4
तरल,3
जार,2
हु.,1
लेथ,1
बीए,8
फेड,2
मैम,3
छुआ,4
मौक,1
फटे,6
रथा,1
सूझ,2
गाव,1
अदब,1
चौथ,1
आयल,2
धनी,5
हुड,3
सोन,3
तपन,6
थाल,1
हवन,8
सधी,1
लहे,2
ईको,3
ओशन,1
कुश,3
घडी,1
दाव,2
कुच,6
दाह,2
तक.,3
थी।,3
बोन,1
सेब,17
कसक,4
पंख,6
ऋचा,8
सटी,1
जुड,1
बडी,4
छोड,1
लेश,1
होड,1
बुझ,1
और.,5
देस,1
सूप,2
आटे,7
लेप,7
अाप,1
रूह,5
किक,2
जगी,3
पुट,1
वसा,2
हनन,11
यान,9
खिल,3
मटन,7
अणु,1
टेप,11
लदे,7
जोत,2
बरत,4
टी.,3
लैड,2
रपट,3
सच.,1
थाह,1
झोल,3
शकल,2
हलक,1
रूई,3
सहन,2
माँ,3
मुख,2
ओवल,4
तंस,1
कोख,5
बृज,1
गंग,2
ये.,5
सूई,2
नैन,8
अमू,1
डगर,1
बलि,14
खडी,2
जैव,1
सतत,2
अब.,1
सर.,3
खडे,1
गढी,1
सरन,6
आगस,4
एडम,3
मूक,13
ओखी,2
लोड,1
मा.,1
बेट,1
जखी,1
एवन,1
थाड,3
तहस,4
नहस,4
घुल,1
नेम,9
ऊफा,2
कली,10
तलत,4
भजन,10
कोइ,1
बसई,1
खाप,3
हिप,1
परी,2
शरु,2
ओली,22
बहे,2
उपज,16
चना,2
घूर,1
आँख,1
तवे,1
काे,2
रिक,1
मेट,2
छंद,2
रुट,1
इसस,4
जैस,1
मिथ,5
यार,3
बते,1
टली,4
दीव,1
हीथ,12
रुम,1
कलश,2
कटर,2
कृष,4
उडा,1
मंक,1
गनी,14
काश,9
एलन,12
होठ,1
दूज,16
गई।,1
कटक,5
वगर,1
खमे,1
फीड,4
जेफ,6
फिच,2
नेल,22
दही,5
सैट,3
करम,1
केज,3
पिल,1
रूक,1
लीप,6
डा.,12
अखर,1
जीव,3
गवई,2
जाय,3
ऊनी,13
जमी,3
खौल,1
वजब,1
जौन,1
आशी,6
बिछ,1
छला,2
रेख,3
नंद,7
नं.,3
थाः,2
वान,4
जंक,1
बान,13
छलक,4
मौर,1
पा.,2
याक,1
चाट,2
ढके,2
ढकी,2
जी।,1
डेक,1
अदर,1
वेश,7
लूं,4
आगा,3
नान,1
आटो,4
मेव,1
नूह,2
साब,1
पाम,1
कम.,1
भरत,24
पुर,1
बैश,7
बसी,4
लूज,1
बोट,6
इंक,1
डेन,3
ललन,2
हीन,2
कने,1
बढी,2
जैक,7
काई,4
छे.,1
अबव,11
अबल,1
पाओ,3
माइ,2
अबे,1
ऐलन,1
आस.,1
केर,1
किड,3
संब,1
यू.,4
कनक,1
थमी,2
सधे,3
माघ,2
दूब,3
रबर,3
की।,5
चैक,5
डैम,1
जोल,1
आशु,11
दवे,3
नीव,1
इवन,14
बढत,1
बेक,5
डंग,1
उछल,6
तोल,1
यदव,1
फटी,6
जिओ,1
जन.,1
टिप,2
अधर,8
नाप,1
कंस,1
ईयू,1
वाघ,2
सीए,5
तहन,1
उगम,1
पसर,2
एएन,2
शफी,3
गैग,1
पीओ,3
वधु,2
ढोर,1
नरा,1
बूझ,1
खाट,2
चिक,1
हैट,5
केन,4
मझे,1
बलू,1
डाक,9
आसफ,1
पूस,1
रोब,2
येल,1
नित,1
मूट,3
एम.,7
अरे,6
खेद,6
रीत,1
नपे,1
ईगो,1
वेन,2
बुश,1
चपत,1
रेन,7
चबा,3
जूट,3
सपर,1
घरो,3
ओले,4
बैड,6
सें,1
नाज,5
पैस,1
रऊफ,12
इवा,2
आंत,2
शटर,3
मनक,3
नूर,12
कबि,2
आली,1
इशा,1
कुथ,1
धरम,3
फकत,1
जाई,1
इट.,1
मरी,3
टकर,4
ऐंग,2
निए,1
लिन,1
हील,1
आरे,7
अतः,2
लाज,1
ईसर,1
डोल,1
आैर,1
शूम,2
वेड,1
नोआ,1
एते,1
पठक,1
कां,1
दहन,6
अनस,17
