matra,frequency,probability
ा,8438871.0,0.252573360528708
ि,3773724.0,0.11294664326399087
ी,4446409.0,0.13307994202246862
ु,1370529.0,0.04101960027971154
ू,605709.0,0.018128723336626802
े,6623931.0,0.19825264689794228
ै,1392618.0,0.04168071868769747
ो,2695210.0,0.08066698104883686
ौ,206216.0,0.006171994821912557
ं,3806982.0,0.1139420471307479
ः,5966.0,0.0001785609317779916
ँ,1103.0,3.301252225127803e-05
ृ,44296.0,0.0013257685273278437
