monogram,frequency,probability
च,2512,0.5090172239108409
स,1031,0.2089159067882472
ह,15,0.00303951367781155
न,1358,0.275177304964539
व,3,0.0006079027355623101
य,10,0.002026342451874367
क,3,0.0006079027355623101
त,2,0.0004052684903748733
थ,1,0.00020263424518743666
