swar,frequency,probability
अ,2774.0,0.4325588648058631
आ,699.0,0.1089973491345704
इ,1105.0,0.17230625292374863
ई,23.0,0.0035864649929830033
उ,677.0,0.10556681740215187
ऊ,51.0,0.007952596288788399
ए,853.0,0.13301107126150008
ऐ,27.0,0.004210198035240917
ओ,6.0,0.0009355995633868704
औ,16.0,0.0024949321690316546
अं,5.0,0.000779666302822392
अः,0.0,0.0
ऋ,177.0,0.02760018711991268
