digram,frequency,probability
दव,135,0.0003097147183316701
गत,1433,0.003287564380513209
धन,521,0.0011952693944503711
ठि,82,0.00018812301409775514
थत,13,2.9824380283790448e-05
मृ,755,0.001732108239558599
धु,337,0.0007731397042797986
दी,791,0.0018146988311137113
चक,444,0.0010186172958463816
वद,569,0.0013053901831905205
भि,2475,0.005678103169413951
सद,327,0.0007501978732922675
दै,232,0.0005322504789107219
वग,225,0.0005161911972194501
णो,371,0.0008511419296374044
पे,449,0.001030088211340147
सल,332,0.000761668788786033
नन,765,0.0017550500705461303
गा,1108,0.0025419548734184477
भी,286,0.0006561363662433899
धै,150,0.0003441274648129667
णु,121,0.00027759615494912646
शो,989,0.0022689470846668273
वत,1600,0.0036706929580049784
का,4074,0.009346501944320176
शः,183,0.0004198355070718194
धे,261,0.0005987817887745621
षम,378,0.0008672012113286762
मय,940,0.0021565321128279246
पृ,403,0.000924555788797504
थि,1159,0.002658958211454856
नद,355,0.0008144350000573546
रः,574,0.001316861098684286
तम,2822,0.00647418470468128
णस,442,0.0010140289296488752
नं,1720,0.003945994929855352
मं,810,0.0018582883099900202
यप,408,0.0009360267042912695
मम,1471,0.003374743338265827
ठं,114,0.0002615368732578547
ठग,8,1.8353464790024894e-05
णै,311,0.0007134909437122176
यं,2575,0.005907521479289262
दश,567,0.0013008018169930141
शर,734,0.0016839303944847837
रथ,708,0.001624281633917203
थस,217,0.0004978377324294252
ती,1104,0.002532778141023435
यय,372,0.0008534361127361575
यौ,209,0.0004794842676394003
मै,437,0.0010025580141551098
छत,219,0.0005024260986269314
ही,641,0.0014705713663007445
कै,414,0.0009497918028837882
कय,105,0.00024088922536907672
यी,151,0.00034642164791171985
पू,717,0.001644929281805981
दत,335,0.0007685513380822923
तव,1016,0.0023308900283331613
नम,1363,0.003126971563600491
चत,288,0.0006607247324408961
भर,852,0.001954644000137651
चन,1100,0.0025236014086284226
मप,662,0.0015187492113745598
पा,2578,0.005914404028585522
शे,442,0.0010140289296488752
सय,86,0.0001972997464927676
जग,469,0.0010759718733152092
वन,2087,0.004787960127097744
लय,234,0.0005368388451082281
पि,2519,0.0057790472257590875
रण,1028,0.0023584202255181987
मण,1277,0.0029296718171077235
नय,441,0.001011734746550122
दय,448,0.0010277940282413939
यि,759,0.0017412849719536116
तो,2384,0.005469332507427418
सौ,446,0.0010232056620438877
शय,377,0.000864907028229923
नक,433,0.0009933812817600972
ले,633,0.0014522179015107196
वध,287,0.000658430549342143
धू,187,0.0004290122394668318
सी,1089,0.0024983653945421383
शश,187,0.0004290122394668318
णी,325,0.0007456095070947612
यथ,987,0.002264358718469321
था,2421,0.005554217282081283
पौ,129,0.0002959496197391514
रै,674,0.0015462794085595972
रन,489,0.0011218555352902715
दू,380,0.0008717895775261824
थे,307,0.0007043142113172052
शृ,175,0.00040148204228179454
गि,362,0.0008304942817486264
बे,29,6.653130986384024e-05
रप,494,0.001133326450784037
गङ,92,0.00021106484508528627
कू,184,0.00042212969017057253
जय,281,0.0006446654507496244
हम,420,0.0009635569014763069
सह,1216,0.0027897266480837834
णे,560,0.0012847425353017423
तय,631,0.0014476295353132134
हू,202,0.0004634249859481285
दक,303,0.0006951374789221928
टम,117,0.00026841942255411403
जस,436,0.0010002638310563567
सथ,8,1.8353464790024894e-05
थं,602,0.001381098225449373
रय,799,0.0018330522959037361
गन,429,0.000984204549365085
सङ,507,0.0011631508310678276
खम,165,0.0003785402112942634
टं,170,0.00039001112678802897
रश,559,0.0012824483522029893
तथ,772,0.001771109352237402
गं,185,0.0004244238732693256
लप,237,0.0005437213944044874
ठप,17,3.9001112678802895e-05
खै,36,8.259059155511202e-05
जै,55,0.00012618007043142113
नो,752,0.0017252256902623398
छद,54,0.00012388588733266802
बल,812,0.0018628766761875266
दप,229,0.0005253679296144626
चद,5,1.1470915493765558e-05
यभ,153,0.00035101001410922606
वप,262,0.0006010759718733152
चो,287,0.000658430549342143
खस,62,0.0001422393521226929
यै,473,0.0010851486057102218
वु,132,0.0003028321690354107
कर,1425,0.0032692109157231837
गम,847,0.0019431730846438855
षय,418,0.0009589685352788006
गर,578,0.0013260378310792984
दण,156,0.0003578925634054854
डक,95,0.0002179473943815456
हत,905,0.002076235704371566
भङ,27,6.194294366633401e-05
दद,496,0.0011379148169815433
णं,671,0.0015393968592633377
यग,181,0.0004152471408743132
है,93,0.00021335902818403937
खड,22,5.047202817256845e-05
नच,108,0.00024777177466533604
चर,521,0.0011952693944503711
धस,173,0.00039689367608428827
षी,266,0.0006102527042683276
मग,179,0.00041065877467680697
कल,285,0.0006538421831446368
शू,211,0.0004840726338369065
पण,114,0.0002615368732578547
णख,27,6.194294366633401e-05
खा,379,0.0008694953944274293
खर,210,0.00048177845073815343
जघ,41,9.406150704887757e-05
घा,180,0.00041295295777556005
पद,501,0.0011493857324753089
हस,912,0.0020922949860628375
णि,883,0.0020257636761989973
वण,539,0.001236564690227927
धम,202,0.0004634249859481285
मू,403,0.000924555788797504
छि,120,0.0002753019718503734
चं,43,9.86498732463838e-05
चे,373,0.0008557302958349106
लव,459,0.0010530300423276782
लच,25,5.735457746882779e-05
चस,95,0.0002179473943815456
नृ,408,0.0009360267042912695
जौ,38,8.717895775261823e-05
जह,108,0.00024777177466533604
गृ,528,0.001211328676141643
जट,103,0.00023630085917157047
टा,634,0.0014545120846094727
ली,420,0.0009635569014763069
घव,805,0.0018468173944962548
दग,110,0.00025236014086284225
कब,34,7.800222535760579e-05
बन,143,0.00032806818312169494
घो,305,0.000699725845119699
कथ,419,0.0009612627183775537
थय,95,0.0002179473943815456
शब,150,0.0003441274648129667
मच,116,0.00026612523945536095
मभ,437,0.0010025580141551098
गच,353,0.0008098466338598483
छे,102,0.00023400667607281737
छन,164,0.0003762460281955103
पम,498,0.0011425031831790496
मत,1082,0.0024823061128508668
मद,480,0.0011012078874014935
शं,538,0.001234270507129174
वृ,1141,0.0026176629156773002
षत,392,0.0008993197747112197
सख,68,0.00015600445071521158
जे,195,0.00044736570425685674
वै,987,0.002264358718469321
थन,32,7.341385916009957e-05
णय,74,0.00016976954930773025
खि,175,0.00040148204228179454
लि,881,0.002021175310001491
शङ,127,0.00029136125354164516
भे,213,0.0004886610000344127
भम,138,0.00031659726762792937
ठे,83,0.00019041719719650824
सप,180,0.00041295295777556005
तल,198,0.0004542482535531161
जद,17,3.9001112678802895e-05
गल,73,0.00016747536620897714
वव,185,0.0004244238732693256
धत,94,0.00021565321128279248
षभ,194,0.0004450715211581036
पय,251,0.000575839957787031
लु,207,0.0004748959014418941
लङ,251,0.000575839957787031
णप,82,0.00018812301409775514
कव,136,0.00031200890143042316
णम,528,0.001211328676141643
पञ,109,0.0002500659577640892
से,665,0.001525631760670819
रग,269,0.000617135253564587
नप,247,0.0005666632253920185
मक,284,0.0006515480000458837
षं,272,0.0006240178028608463
पै,132,0.0003028321690354107
छय,21,4.817784507381534e-05
दध,110,0.00025236014086284225
भय,326,0.0007479036901935144
भै,78,0.0001789462817027427
नल,83,0.00019041719719650824
डा,75,0.00017206373240648336
लन,110,0.00025236014086284225
मष,21,4.817784507381534e-05
बभ,257,0.0005896050563795497
भौ,127,0.00029136125354164516
सच,73,0.00016747536620897714
गण,242,0.0005551923098982529
पक,353,0.0008098466338598483
कं,340,0.0007800222535760579
नू,245,0.0005620748591945123
जल,335,0.0007685513380822923
तृ,266,0.0006102527042683276
नघ,65,0.00014912190141895226
यर,183,0.0004198355070718194
गश,55,0.00012618007043142113
जं,114,0.0002615368732578547
नग,252,0.0005781341408857841
नध,44,0.0001009440563451369
णक,58,0.00013306261972768048
मल,339,0.0007777280704773048
जव,111,0.0002546543239615954
तग,71,0.00016288700001147093
शव,50,0.00011470915493765558
षश,44,0.0001009440563451369
पघ,5,1.1470915493765558e-05
पठ,4,9.176732395012447e-06
ठन,44,0.0001009440563451369
यण,54,0.00012388588733266802
सग,81,0.00018582883099900203
जो,180,0.00041295295777556005
भत,64,0.00014682771832019915
यफ,10,2.2941830987531115e-05
फल,270,0.0006194294366633402
लत,111,0.0002546543239615954
दस,182,0.0004175413239730663
हश,23,5.2766211271321566e-05
थम,245,0.0005620748591945123
लश,80,0.00018353464790024892
यच,137,0.0003143030845291763
चच,61,0.0001399451690239398
पश,691,0.0015852805212384
थु,40,9.176732395012446e-05
भग,244,0.0005597806760957592
रौ,348,0.0007983757183660828
चय,199,0.00045654243665186917
हच,18,4.129529577755601e-05
ची,143,0.00032806818312169494
ठा,112,0.00025694850706034847
चम,72,0.00016518118311022404
धी,186,0.00042671805636807875
शक,442,0.0010140289296488752
दब,19,4.3589478876309116e-05
बद,89,0.00020418229578902692
षर,98,0.00022482994367780494
तन,520,0.001192975211351618
ठत,117,0.00026841942255411403
कक,90,0.00020647647888778002
भु,346,0.0007937873521685765
खो,79,0.00018124046480149581
रष,160,0.00036706929580049784
टु,155,0.0003555983803067323
थौ,35,8.02964084563589e-05
शद,54,0.00012388588733266802
टे,118,0.00027071360565286717
कष,17,3.9001112678802895e-05
णब,12,2.7530197185037337e-05
तच,248,0.0005689574084907716
मध,445,0.0010209114789451346
रध,176,0.0004037762253805476
सश,105,0.00024088922536907672
भृ,237,0.0005437213944044874
गी,137,0.0003143030845291763
कत,39,8.947314085137135e-05
शै,244,0.0005597806760957592
थप,103,0.00023630085917157047
पग,78,0.0001789462817027427
सस,302,0.0006928432958234397
नत,169,0.00038771694368927584
थव,111,0.0002546543239615954
यब,44,0.0001009440563451369
रघ,156,0.0003578925634054854
घु,153,0.00035101001410922606
यध,79,0.00018124046480149581
सभ,79,0.00018124046480149581
टि,214,0.0004909551831331658
थग,36,8.259059155511202e-05
हद,120,0.0002753019718503734
टभ,19,4.3589478876309116e-05
पं,266,0.0006102527042683276
यङ,37,8.488477465386512e-05
चव,25,5.735457746882779e-05
वट,18,4.129529577755601e-05
धद,11,2.5236014086284226e-05
मथ,118,0.00027071360565286717
कद,92,0.00021106484508528627
लद,77,0.00017665209860398957
घन,92,0.00021106484508528627
नभ,134,0.00030742053523291694
चप,19,4.3589478876309116e-05
थै,182,0.0004175413239730663
लस,296,0.000679078197230921
सै,177,0.00040607040847930075
रञ,28,6.423712676508712e-05
षट,26,5.9648760567580896e-05
दौ,123,0.00028218452114663273
षौ,62,0.0001422393521226929
वौ,93,0.00021335902818403937
ञौ,7,1.605928169127178e-05
जप,148,0.0003395390986154605
नौ,199,0.00045654243665186917
तौ,509,0.0011677391972653337
पब,13,2.9824380283790448e-05
बृ,39,8.947314085137135e-05
हय,109,0.0002500659577640892
तभ,49,0.00011241497183890247
णौ,157,0.0003601867465042385
पल,130,0.0002982438028379045
बौ,1,2.2941830987531117e-06
गौ,62,0.0001422393521226929
णल,9,2.0647647888778004e-05
वू,4,9.176732395012447e-06
चु,104,0.00023859504227032358
ठु,3,6.882549296259334e-06
गग,70,0.0001605928169127178
जम,216,0.0004955435493306721
हौ,40,9.176732395012446e-05
पो,212,0.00048636681693565965
वञ,22,5.047202817256845e-05
खं,162,0.00037165766199800406
मौ,202,0.0004634249859481285
बो,52,0.00011929752113516179
षद,17,3.9001112678802895e-05
सक,216,0.0004955435493306721
षष,35,8.02964084563589e-05
लम,553,0.0012686832536104706
फी,15,3.441274648129667e-05
यू,213,0.0004886610000344127
तध,46,0.00010553242254264313
पथ,152,0.00034871583101047293
टत,21,4.817784507381534e-05
गध,22,5.047202817256845e-05
लध,29,6.653130986384024e-05
तघ,16,3.670692958004979e-05
टक,101,0.00023171249297406426
घै,47,0.00010782660564139624
खल,101,0.00023171249297406426
गो,270,0.0006194294366633402
हग,37,8.488477465386512e-05
ढा,26,5.9648760567580896e-05
तण,2,4.588366197506223e-06
डु,61,0.0001399451690239398
डर,14,3.211856338254356e-05
दङ,26,5.9648760567580896e-05
गै,106,0.00024318340846782982
शम,330,0.0007570804225885268
लघ,28,6.423712676508712e-05
लै,168,0.0003854227605905227
दष,7,1.605928169127178e-05
षड,17,3.9001112678802895e-05
डङ,4,9.176732395012447e-06
गप,75,0.00017206373240648336
घद,9,2.0647647888778004e-05
यज,339,0.0007777280704773048
जर,172,0.0003945994929855352
सञ,112,0.00025694850706034847
गद,208,0.00047719008454064716
बी,16,3.670692958004979e-05
डल,85,0.00019500556339401449
टी,45,0.00010323823944389001
पभ,34,7.800222535760579e-05
भो,220,0.0005047202817256845
नङ,7,1.605928169127178e-05
कध,6,1.3765098592518668e-05
जक,67,0.00015371026761645847
पच,78,0.0001789462817027427
शल,171,0.00039230530988678205
तङ,46,0.00010553242254264313
भद,136,0.00031200890143042316
चल,74,0.00016976954930773025
ढत,1,2.2941830987531117e-06
टौ,21,4.817784507381534e-05
धक,57,0.00013076843662892734
ठो,97,0.0002225357605790518
णश,143,0.00032806818312169494
थह,8,1.8353464790024894e-05
वह,150,0.0003441274648129667
डं,18,4.129529577755601e-05
षक,44,0.0001009440563451369
जश,63,0.00014453353522144601
णद,44,0.0001009440563451369
णग,13,2.9824380283790448e-05
रख,38,8.717895775261823e-05
षज,13,2.9824380283790448e-05
षव,126,0.00028906707044289203
पह,114,0.0002615368732578547
कण,81,0.00018582883099900203
यष,37,8.488477465386512e-05
टव,83,0.00019041719719650824
ञं,40,9.176732395012446e-05
दह,92,0.00021106484508528627
वथ,60,0.0001376509859251867
जभ,16,3.670692958004979e-05
षप,58,0.00013306261972768048
ञभ,2,4.588366197506223e-06
गय,52,0.00011929752113516179
ञप,12,2.7530197185037337e-05
धय,63,0.00014453353522144601
खप,16,3.670692958004979e-05
भन,57,0.00013076843662892734
धौ,58,0.00013306261972768048
भण,7,1.605928169127178e-05
कच,164,0.0003762460281955103
कन,220,0.0005047202817256845
चश,64,0.00014682771832019915
मङ,80,0.00018353464790024892
थर,46,0.00010553242254264313
टप,56,0.00012847425353017423
टर,14,3.211856338254356e-05
सृ,191,0.0004381889718618443
सव,162,0.00037165766199800406
सब,51,0.00011700333803640868
टद,11,2.5236014086284226e-05
खद,23,5.2766211271321566e-05
षै,78,0.0001789462817027427
कञ,16,3.670692958004979e-05
छी,7,1.605928169127178e-05
ञम,13,2.9824380283790448e-05
ञक,8,1.8353464790024894e-05
खन,28,6.423712676508712e-05
नट,4,9.176732395012447e-06
टन,25,5.735457746882779e-05
ठम,41,9.406150704887757e-05
छू,7,1.605928169127178e-05
ठव,9,2.0647647888778004e-05
ञे,85,0.00019500556339401449
ठस,81,0.00018582883099900203
ञय,19,4.3589478876309116e-05
ञी,6,1.3765098592518668e-05
ञव,12,2.7530197185037337e-05
टग,4,9.176732395012447e-06
रङ,38,8.717895775261823e-05
बै,4,9.176732395012447e-06
ञै,15,3.441274648129667e-05
णर,15,3.441274648129667e-05
णत,59,0.00013535680282643358
बक,9,2.0647647888778004e-05
डो,18,4.129529577755601e-05
डश,14,3.211856338254356e-05
वब,50,0.00011470915493765558
बू,28,6.423712676508712e-05
लब,68,0.00015600445071521158
दज,22,5.047202817256845e-05
जु,90,0.00020647647888778002
खच,3,6.882549296259334e-06
टू,1,2.2941830987531117e-06
डन,17,3.9001112678802895e-05
धग,10,2.2941830987531115e-05
हप,21,4.817784507381534e-05
घक,11,2.5236014086284226e-05
धह,8,1.8353464790024894e-05
धज,20,4.588366197506223e-05
णभ,30,6.882549296259335e-05
थक,66,0.00015141608451770536
ढग,1,2.2941830987531117e-06
जध,19,4.3589478876309116e-05
बव,31,7.111967606134645e-05
जृ,16,3.670692958004979e-05
भं,112,0.00025694850706034847
शग,63,0.00014453353522144601
जज,55,0.00012618007043142113
ञि,15,3.441274648129667e-05
गक,26,5.9648760567580896e-05
नख,25,5.735457746882779e-05
थल,23,5.2766211271321566e-05
हङ,21,4.817784507381534e-05
षग,24,5.5060394370074674e-05
छव,13,2.9824380283790448e-05
यञ,20,4.588366197506223e-05
घब,16,3.670692958004979e-05
कट,42,9.635569014763068e-05
लग,24,5.5060394370074674e-05
लौ,50,0.00011470915493765558
घम,33,7.570804225885268e-05
कह,13,2.9824380283790448e-05
गज,144,0.00033036236622044807
थच,6,1.3765098592518668e-05
ढो,7,1.605928169127178e-05
सध,19,4.3589478876309116e-05
णष,28,6.423712676508712e-05
भः,91,0.00020877066198653316
नज,36,8.259059155511202e-05
मऋ,1,2.2941830987531117e-06
घे,25,5.735457746882779e-05
षध,24,5.5060394370074674e-05
थञ,39,8.947314085137135e-05
छस,95,0.0002179473943815456
नष,76,0.00017435791550523646
रब,128,0.0002936554366403983
टय,21,4.817784507381534e-05
खे,122,0.0002798903380478796
षन,99,0.00022712412677655804
ढु,14,3.211856338254356e-05
मख,11,2.5236014086284226e-05
खी,58,0.00013306261972768048
भस,127,0.00029136125354164516
तट,32,7.341385916009957e-05
तह,44,0.0001009440563451369
भज,43,9.86498732463838e-05
झि,4,9.176732395012447e-06
णन,44,0.0001009440563451369
टल,6,1.3765098592518668e-05
तब,40,9.176732395012446e-05
टच,28,6.423712676508712e-05
झर,14,3.211856338254356e-05
झप,1,2.2941830987531117e-06
णह,12,2.7530197185037337e-05
घृ,26,5.9648760567580896e-05
बं,14,3.211856338254356e-05
बध,21,4.817784507381534e-05
पध,28,6.423712676508712e-05
डच,3,6.882549296259334e-06
कङ,12,2.7530197185037337e-05
जः,215,0.000493249366231919
वष,13,2.9824380283790448e-05
थः,86,0.0001972997464927676
ढन,3,6.882549296259334e-06
ढम,18,4.129529577755601e-05
घस,43,9.86498732463838e-05
डम,20,4.588366197506223e-05
खव,8,1.8353464790024894e-05
मघ,21,4.817784507381534e-05
नथ,4,9.176732395012447e-06
लज,49,0.00011241497183890247
डह,2,4.588366197506223e-06
भच,2,4.588366197506223e-06
डि,142,0.00032577400002294186
घू,17,3.9001112678802895e-05
ञघ,2,4.588366197506223e-06
ञफ,2,4.588366197506223e-06
गभ,6,1.3765098592518668e-05
बम,13,2.9824380283790448e-05
ञः,53,0.00012159170423391491
सज,72,0.00016518118311022404
बण,4,9.176732395012447e-06
बस,11,2.5236014086284226e-05
वः,364,0.0008350826479461326
भञ,13,2.9824380283790448e-05
षथ,6,1.3765098592518668e-05
चू,32,7.341385916009957e-05
गह,41,9.406150704887757e-05
चौ,9,2.0647647888778004e-05
लर,28,6.423712676508712e-05
भध,5,1.1470915493765558e-05
ङग,3,6.882549296259334e-06
षल,4,9.176732395012447e-06
भप,6,1.3765098592518668e-05
यल,31,7.111967606134645e-05
मञ,25,5.735457746882779e-05
ढध,2,4.588366197506223e-06
ञच,1,2.2941830987531117e-06
ञह,2,4.588366197506223e-06
घज,9,2.0647647888778004e-05
दभ,54,0.00012388588733266802
यख,3,6.882549296259334e-06
धप,30,6.882549296259335e-05
खश,17,3.9001112678802895e-05
थी,43,9.86498732463838e-05
खग,10,2.2941830987531115e-05
शच,33,7.570804225885268e-05
ठद,3,6.882549296259334e-06
छङ,3,6.882549296259334e-06
छप,5,1.1470915493765558e-05
चञ,7,1.605928169127178e-05
डै,6,1.3765098592518668e-05
बच,1,2.2941830987531117e-06
टश,31,7.111967606134645e-05
थू,12,2.7530197185037337e-05
मठ,1,2.2941830987531117e-06
डस,13,2.9824380283790448e-05
घत,2,4.588366197506223e-06
शौ,31,7.111967606134645e-05
धध,15,3.441274648129667e-05
टज,23,5.2766211271321566e-05
धच,12,2.7530197185037337e-05
सफ,27,6.194294366633401e-05
हथ,15,3.441274648129667e-05
छथ,4,9.176732395012447e-06
णच,44,0.0001009440563451369
रृ,20,4.588366197506223e-05
लख,6,1.3765098592518668e-05
ठौ,3,6.882549296259334e-06
डब,7,1.605928169127178e-05
नह,55,0.00012618007043142113
शभ,12,2.7530197185037337e-05
शज,10,2.2941830987531115e-05
भट,2,4.588366197506223e-06
टै,35,8.02964084563589e-05
फा,26,5.9648760567580896e-05
छक,8,1.8353464790024894e-05
पट,26,5.9648760567580896e-05
शध,15,3.441274648129667e-05
ठश,11,2.5236014086284226e-05
लू,14,3.211856338254356e-05
डे,28,6.423712676508712e-05
घं,22,5.047202817256845e-05
चण,24,5.5060394370074674e-05
लह,22,5.047202817256845e-05
यः,572,0.0013122727324867797
कग,18,4.129529577755601e-05
लफ,38,8.717895775261823e-05
फस,1,2.2941830987531117e-06
फं,3,6.882549296259334e-06
फो,10,2.2941830987531115e-05
फम,1,2.2941830987531117e-06
छु,19,4.3589478876309116e-05
घर,20,4.588366197506223e-05
ठभ,1,2.2941830987531117e-06
भश,15,3.441274648129667e-05
बत,30,6.882549296259335e-05
डय,21,4.817784507381534e-05
गब,8,1.8353464790024894e-05
जू,11,2.5236014086284226e-05
कभ,16,3.670692958004979e-05
ठै,12,2.7530197185037337e-05
ञग,3,6.882549296259334e-06
खण,6,1.3765098592518668e-05
घण,2,4.588366197506223e-06
ढस,11,2.5236014086284226e-05
लञ,3,6.882549296259334e-06
