matra,frequency,probability
ा,15.0,0.4838709677419355
ि,7.0,0.22580645161290322
ी,0.0,0.0
ु,0.0,0.0
ू,0.0,0.0
े,4.0,0.12903225806451613
ै,0.0,0.0
ो,2.0,0.06451612903225806
ौ,0.0,0.0
ं,0.0,0.0
ः,0.0,0.0
ँ,0.0,0.0
ृ,3.0,0.0967741935483871
