word,frequency
संसदीय,195
सचिव,286
मुद्दे,484
को,39877
लेकर,3428
केजरीवाल,927
ने,35614
पहले,4568
किए,1420
ये,4944
फिर,2120
मोदी,3029
जी,571
मुझे,1114
पीट,30
लो...,2
दिल्ली,3814
के,82957
मुख्यमंत्री,1551
अरविंद,411
विधायकों,300
बनाए,314
जाने,1944
मामले,3061
बीजेपी,3057
और,29407
कांग्रेस,2944
पर,24587
एक,13663
बार,2684
हमला,678
बोला,101
है.,34573
उन्होंने,5126
कहा,7884
कि,23878
सरकार,5023
बेहतरीन,127
काम,2373
कर,13124
रही,5853
है,15721
जिसकी,257
चर्चा,714
पूरे,816
देश,2479
दुनिया,770
में,63419
हो,7926
इसी,1210
वजह,1465
से,34412
पीएम,900
परेशान,283
हैं.,14397
बाद,7936
शीला,56
भी,16584
बनाए.,35
दीक्षित,67
अजय,211
माकन,30
बनाया.,79
साहिब,28
सिंह,3031
वर्मा,162
मई,403
नन्द,3
किशोर,156
बनाया,553
था.,6628
तो,7434
हम,1642
बनाएं,29
अवैध,215
करार.,3
मोहल्ला,34
क्लीनिक,31
हमारे,587
की,51983
मेहनत,135
का,25786
नतीजा,75
इंजीनियर,83
दूसरी,716
पार्टियों,128
तरह,2465
नहीं.,339
तारीफ,191
दुनियाभर,84
हमेशा,392
अस्थिर,4
करने,6957
लगे,479
रहते,404
प्रार्थना,31
लोगों,3846
तंग,46
न,1332
करें.,332
आपकी,255
मुझसे,121
मार,507
लो,36
लेकिन,5105
वालों,518
तरस,17
दोनों,2269
पीछ,6
अभी,1206
तक,4442
हार,247
पचा,8
नहीं,11705
पाई,184
गए,2701
रुपये,1652
अतिरिक्त,117
दिया,4637
जा,4580
रहा,4911
पद,532
बताना,65
साजिश,298
गुजरात,613
समेत,529
कई,3242
राज्यों,428
विधेयक,154
राष्ट्रपति,667
ओर,1172
लौटाने,22
गृह,469
मंत्रालय,426
हाथ,666
सिर्फ,996
सचिवों,15
ही,9878
सदस्यता,60
क्यों,614
रद्द,211
करवाने,76
तुले,7
खुद,1091
करेंगे,243
ना,638
किसी,2429
दूसरे,898
देंगे.,200
पंजाब,523
लाख,1067
रुपए,237
तनख्वाह,13
मिलती,137
वो,2838
दिखाई,278
देता.,18
नरेंद्र,866
बल्कि,644
आम,824
आदमी,588
पार्टी,3231
लगता,553
डर.,2
कुछ,3545
अपने,5035
लक्ष्य,116
भटकने,7
वाली,1827
गोहत्या,21
पाबंदी,47
पहल,66
रामदेव,117
देशभर,147
चल,986
रहे,5700
विवाद,545
बीच,2259
अब,3895
योग,196
गुरु,89
प्रधानमंत्री,1410
आज,1235
खास,634
बातचीत,623
जैसे,903
सांप्रदायिक,57
दृष्टि,23
अति,33
संवेदनशील,54
राज्य,1463
जब,2700
पूर्ण,117
प्रतिबंध,124
गाय,61
खून,186
बहेगा,3
नाम,2090
बहेगा.,1
इन,1971
वजहों,26
देख,397
सकते,1230
हैं,5448
फिल्म,4434
सुशांत,254
राजपूत,145
सारा,207
अली,381
खान,1616
स्टारर,71
केदारनाथ,37
दिसंबर,446
रिलीज,903
होने,3342
आइए,83
जानते,239
देखने,516
लायक,44
क्या,1652
होगा,569
ऐसे,1632
जिनके,149
चलते,650
लगातार,763
सुर्खियों,108
मेकिंग,16
वक्त,932
इसके,3447
अधिकारों,46
तमाम,425
दिक्कतें,18
सामने,1783
आती,304
रहीं.,61
निर्देशन,119
अभिषेक,149
कपूर,904
किया,8302
इसकी,817
कहानी,416
आई,960
आपदा,53
लिखी,132
गई,3749
ट्रेलर,239
यूट्यूब,43
ज्यादा,1760
देखा,516
चुका,585
दर्शकों,185
जहां,1365
इस,13854
काफी,1490
एक्साइटमेंट,8
वहीं,1417
समूह,156
विरोध,816
चलिए,13
जाना,490
चाहिए.,924
सैफ,173
अमृता,33
बेटी,548
अपना,1309
डेब्यू,124
यह,5637
उनकी,2148
पहली,920
होगी.,852
इसमें,1034
साथ,7379
रोमांस,28
करती,737
नजर,1573
आएंगी.,103
चर्चे,11
उनके,3064
लिए,11067
फैंस,212
इंतजार,265
दिलों,13
गहरी,46
छाप,15
चुके,831
कोई,3066
हिट,129
दे,1267
पाए,183
साल,3515
कृति,62
सेनन,14
राब्ता,1
साबित,353
हुई.,519
वेलकम,7
टु,3
उनका,1156
गेस्ट,41
अपीयरेंस,9
अंत,129
आने,1203
वापसी,173
उम्मीद,434
घटी,31
दिल,316
दहला,43
देने,1632
दास्तां,11
पर्दे,109
जीवंत,5
प्रयास,238
गया,6255
जैसा,252
आ,2037
उन,762
दृष्यों,1
मदद,778
हद,86
वास्तविक,39
रूप,1123
हुई,2418
त्रासदी,24
हजारों,101
लोग,1986
मारे,271
थे,964
भावनाएं,21
हिंदू,263
भूमिका,366
निभाई,36
मुस्लिम,395
किरदार,418
निभा,103
प्रेम,130
लव,168
लिप,3
करते,2828
दिखाया,157
जो,3087
विवादों,99
बन,697
काय,3
पो,7
चे,3
फितूर,6
जैसी,327
फिल्मों,401
वह,3529
करेंगी.,76
प्रमोशन,107
आमिर,304
अपनाया,31
पैंतरा,3
रेसलिंग,10
आधारित,167
अपनी,3458
अलग,652
पैंतरे,2
तैयार,707
आजकल,69
प्रमोशनल,13
