ending,frequency
लो..,2
है,34938
हैं,14580
बनाए,36
बनाया,79
था,6682
करार,3
नहीं,386
करें,337
देंगे,203
देता,19
डर,6
बहेगा,1
खास,18
रहीं,65
चाहिए,943
होगी,863
आएंगी,103
हुई,534
करेंगी,79
जाएं,74
रहेगा,148
का,62
बदले,8
उतरेंगे,13
निकालेंगे,1
दीं,45
ले,22
रहा,303
फंसाए,2
गई,1677
थी,4313
हुआ,578
गईं,140
राम,4
जीतेंगे,5
झिझक,1
थे,3233
थरे,1
दिखे,44
किया,1825
अंश,6
पीएम,6
पहुंचे,205
काम,7
पहुंचेगी,9
करेंगे,585
कानून,1
मंजूरी,1
होगा,1054
सिंह,12
जीडीपी,1
दी,1155
फहराया,2
दिया,1862
लायेगी,1
गया,2546
की,1473
करेगी,244
मिला,212
पहुंची,88
समझे,2
रहेंगे,131
दीजिए,31
रही,188
होंगे,391
डाले,11
रची,10
लगाया,83
कही,71
जाएगा,962
मिलेगी,112
जाए,377
दें,153
हों,74
,397
आएंगे,210
जाएगी,485
दिखेगा,12
लिया,719
आया,158
देगा,79
गए,1221
चला,37
चाहती,16
खुलवाएं,1
बोला,52
दिए,159
रहे,389
आपकी,1
ठहराया,19
खोलेगी,1
बचता,2
नसबंदी,1
कौन,13
और,7
कीजिए,17
आई,129
भागे,6
भागना,1
ठानी,6
दिखाया,35
अपनाएंगे,1
सके,257
लगेगा,45
होंगी,90
सकें,84
नाम,5
सकेगा,60
हूं,604
द,23
सकी,60
उन्होंने..,1
किए,153
दिखेंगे,20
दिखाएगा,3
लाएगी,12
करेगा,167
मान्यता..,1
लगे,163
हो,406
थीं,551
आएं,15
बने,88
जाएंगे,281
लिए,84
बनेगा,26
वीडियो,3
कराई,51
कहा,136
पूछा,18
डाला,96
लगाई,36
सकता,152
भी,70
गर्व,1
पर,33
दिशा,1
प्रोजेक्ट,1
विभाग,1
करवाई,19
मुख्यमंत्री,2
बचत,1
दिखेंगी,18
पाई,60
सकेगी,30
मिली,151
शो..,1
खोया,2
हुए,237
श्रद्धांजलि,1
डाली,42
रखें,57
सुनी,19
रेंगी,1
भेजी,3
लिखूंगा,1
तो,7
हैं...,1
करे,91
सोचे,3
वजहें..,5
सकतीं,4
पाएगी,19
दरार,1
बनायेंगे,1
रखेंगे,25
मिलेंगे,43
रखूंगा,2
रखता,1
वजह,13
कमाया,3
रखा,68
जीता,25
करें..,7
आएगा,83
ब्रोज,2
ली,301
समझाया,6
सका,53
पीटा,18
रहेगी,78
गुजरेगा,4
मिलेगा,191
पाएंगे,87
पाए,67
आए,204
रखेगी,8
कीं,24
मिलियन,1
खुलासा,1
पहुंचाई,8
स्वीकारी,1
मारा,32
निकला,35
भूलीं,1
खेली,15
खेले,5
बुलाई,9
चलेगी,18
सुनेगी,3
बोलेंगे,7
सरकार,6
सुनाई,38
बताई,50
लहराया,6
हराया,27
पूछे,11
लेंगे,100
लपका,4
बातें..,15
जाइए,7
बताया,136
एन,11
के,64
शुक्ला,2
निकले,38
लगी,121
मैरिज,1
तरफ,3
क्या,44
देगी,79
मिले,117
लिखी,10
बुलाएंगे,1
रुकेंगे,3
भिजवाया,11
असर,5
पहुंचा..,1
इंडेक्स,1
पहुंचा,47
लगा,127
जाये,8
निकाला,26
उतारा,7
उभरी,2
करूंगा,39
इशिता..,1
हैं..,35
आएगी,52
में,99
वजह..,3
आरोपी,2
सुनाएगा,10
लेगा,27
लेगी,24
शुल्क,1
सकेंगे,91
पाएगा,31
आईं,55
सकते,69
मांगें,7
लगाए,44
लगीं,23
आर,20
निकली,25
घेरा,11
हटाएं,2
...,5
निभाई,16
कुमार,4
आएंगीं,2
आपने,4
बनेगी,22
ली..,1
छापी,1
रहें,56
पाया,49
लौटेंगे,6
खेला,8
पायी,2
कल्लूरी,1
एस.आर.पी,3
दुश्मन,2
लेंगी,12
लिखा,12
रे,3
लगाएगा,3
गलत,3
लहराए,2
मिलीं,26
सिखाया,4
भगाया,1
सकती,62
दूंगा,20
शुभकामनाएं,8
मुबारक,4
रखिएगा,3
पाती,5
शुक्रिया,12
दो,25
आश्चर्य,1
झिझकते,2
गिराया,43
रचीं,1
शोर..,1
शोर,1
उठाया,48
.,32
कम..,1
फायदे..,1
पानी..,1
दिलाएगा,3
दर्द,5
दे,36
धरदबोचा,6
चलीं,5
चलाई,11
आतंकी,4
निपटेगी,1
बोले,5
निकलेगा,4
चाहिएं,1
चुना,23
जिये,1
बेबी,2
कमिश्नर...,1
लुक,7
खुश,1
देखी,18
साथ,22
लिखेगी,2
खोलीं,1
थिरके,2
जिम्मेदार..,1
लें..,3
खुला,13
लें,115
पहुंचाएगा,3
बचेंगे,4
जानी,2
भूलें,10
बुलाया,40
परोसा,3
धमका,3
सजी,4
गिरी,13
गये,23
डी,3
मो,18
करो,19
गयी,31
पैसा,3
लाएंगे,5
देखा,33
चलाया,8
करवाया,22
एन.वी,1
सकूं,5
नागपंचमी..,1
है..,53
पहुंचेंगे,20
देरी,1
पाकिस्तान,2
समर्थक,2
रवाना,3
संदेश,5
शुरू,6
जाएंगी,47
आदेश,4
जाऊंगा,12
बी.के,4
आसान,1
खेमका,1
रुकी,2
वी,6
भेजा,16
समझा,11
कहलाए,1
हां,7
वर्ष,1
हटेंगे,2
पहुंचता,1
चलाए,3
चली,26
काटे,4
झटके,4
जीते,20
जमाया,8
पाईं,11
होता,74
देश,1
दोहराया,6
बालन,2
बटोरना,1
लेता,5
बुलाऊंगा,1
बातें,3
छात्र,2
चाहेंगे,14
उठे,10
अंश..,1
आपको,1
गिफ्ट,1
बनाई,25
करूंगी,9
होम,1
निकलतीं,1
साहब,1
बात,6
करते,42
जाते,24
पीछे,6
दयाल,2
चिरंतन,1
जाती,22
ठहरते,1
सौंपेंगे,6
दिलाई,14
कहलाया,2
खोली,4
मस्तान,2
ए,25
पी,55
बदलेगी,1
रहेंगी,21
ही,28
सौंपा,9
कविताएं,1
..,25
था..,6
थी..,5
पहुंचीं,28
कराए,6
बना,17
लिमिटेड,1
यूनिट,2
लि,6
बहन..,1
निभाएंगी,5
निभाएंगे,15
चाहता,18
ठाकरे,1
अपनाया,4
एम.जी,1
रु,54
बांटे,1
रखना,3
जे,8
ई.के,1
जाऊं,4
चाहते,24
बनेंगे,12
देंगी,38
अपना,1
मारे,4
भागा,9
घाघरा,1
साधा,63
सूझा,2
सजा,3
समझी,3
डालेगा,4
देखते,1
बताएगी,3
रखी,47
बदलेंगी,1
उठाएं,4
कराया,49
बनाएगी,19
बताकर,1
जाता,35
वी.एन,1
ए.पी.जे,1
फुटेज,1
भारतम,1
करोगे,4
करूं,7
बनाऊंगा,2
मांगे,5
फेंका,8
अहम,1
छोडूंगा,1
देते,18
जीतीं,4
खोले..,1
सोचता,1
मिलती,9
सीखी,3
बोलिए,2
खबरें..,3
काजोल,1
चलेगा,52
उपाय,4
आदि,9
भागेगी,1
मचाएगा,1
ढाएगा,1
अधिकार,1
उठाई,13
वाले,5
जनवरी,1
सौदागर,1
घूमो,1
प्लाईवाले,1
भागेंगे,1
कभी,2
बेचीं,1
बैठे,16
चुनी,2
दुकान,1
हिट,1
खेलते,1
रुके,7
पता,13
होऊंगा,2
छपती,1
दिया..,1
हुईं,53
इंटरव्यू,3
केजरीवाल,2
देखेगा,4
करतीं,10
निकालेगी,2
लगाएं,29
चाहेगा,4
उम्मीदवार,2
कैमियो,1
झलक,2
घटी,6
बेस्ट,2
झुकाए,1
दूंगी,4
वाला,16
बनाउंगी,1
खेलूंगी,1
बचेगा,4
डालेंगी,1
मिलाएंगे,1
दिये,4
लूंगा,5
सलाम,3
खटखटाया,5
लौटाएंगे,1
ने,29
तराशा,1
रहना,3
ए.के,9
हिस्सा,2
लालसा,1
सौंपी,12
छूटा,1
घूमता,1
रहता,8
जागेंगे,1
दोस्ती,1
खुले,1
दिखीं,17
पांडे,1
उठा,21
सच्चाई,3
दिखाएं,10
टपकते,1
उतरे,11
मारो,3
ई.एल,3
काटा,6
अंग्रेजीदां,1
साल,4
सफर,8
डी.एच,1
हा,1
बधाई,12
सीट,3
बनीं,8
बी.एड,2
बांटें,1
प्लीज..,2
बुलाऊं,2
बुलाओ,3
मी,3
उठता,3
गुजरा,3
नजर,3
करना,16
दौरान,2
राशिफल,1
एल,6
सी,4
शाह,1
देखें,16
है...,3
यार,3
वरुण,1
से,39
ट्वीट,3
चांस,1
थमाया,2
सफलता,2
यश,1
सोएं,2
मनाया,15
भागी,3
रिलीज,4
होइएगा,1
लगेंगे,23
पाएंगी,6
आती,14
आता,12
खैर..,1
बनता,1
गिरेगा,1
प्रो,18
होते,29
कदम..,1
जी,13
डालें,10
लगाएंगे,9
कार्ड,3
लूंगी,5
दिखाए,11
चाहूंगी,4
बगदादी,2
खत्म,4
कुछ,2
उठाएंगे,11
घेरेगी,1
किताब,2
लौटेगी,4
होती,38
पहनाया,1
कैजुअल,2
सूट,1
आप,3
ड्रेस,1
जोगिन्दर,1
कहते,1
बिल्कुल,2
बनाएंगे,19
बनेंगी,6
उगाओ,1
खाता,2
मारेगा,4
पूरी,2
मांगी,18
उठी,9
मिलता,8
बनाएंगी,3
होत,1
जायेंगी,2
जाएंगे.,1
कांग्रेस,3
जागरुकता,1
दबोचा,15
टेका,2
दिखी,13
जानते,3
बालकृष्णन,1
काबिलियत,1
नायर,1
होतीं,2
लगती,6
सुना,7
डालें.,1
रखेगा,7
खुलेगी,1
जायें,2
डी.पी,2
बताएंगे,12
बनाना,2
बोलो,2
तो.,1
ना,5
जायेंगे,5
जमीन,2
वहां,1
बच्चे,1
पाएं,10
पाठक,2
बताएं,10
बताए,7
सा.रे.गा.म.पा,1
धोखा,3
रुपये,12
के.सी,2
के.जी,1
रोल,2
लाएं,4
गिरा,7
शूटिंग..,2
गरीब,1
पकती,1
मानते,7
दीजिये,2
समाचार,2
हराना,1
पहुंचाया,22
मंगल..,1
खुराना,1
मिटाएंगे,1
चाहा,2
छुटकारा,1
बचें,14
जताया,22
संभाला,14
भरी,10
मानता,6
बी,4
डूबा,2
लीटर,6
मस्ती,1
बिताया,8
खेती,1
करवाएं,4
तरीके,3
संभालेंगे,11
हुआ..,7
हाल,5
खबर..,6
माधव,1
लगेगी,19
नमस्कार....,1
झुकना,1
बीच,4
जरूरी,2
तोहफा,1
लगाएगी,3
डरूंगा,1
हारी,2
निभाए,2
चाहतीं,5
बचाएंगे,1
लगाते,1
उठाओ,2
रचाई,2
हटाया,3
साजिश,1
भेजेगा,3
भेजते,2
राज,7
पुराना,2
मिलेंगी,5
तवज्जो,1
पार्टियां,1
रोकी,5
केकेआर,1
ओर,2
आर.पी.एन,3
जोनस,1
इसलिए..,1
आग,1
छुट्टी,2
छात्रा,1
गांव,1
दरिया,1
खौफ,1
फैली,2
जगाए,1
तरीके..,1
छुआ,8
करता,25
कर,6
जुटे,1
देखिए,12
किलोमीटर,1
ई,4
निवेश,1
बी.आर,14
का..,1
सुनाया,23
पाता,14
बोलते,3
दिलाएं,3
आजमाएंगे,1
डालेगी,2
बचाएं,1
टिकी,2
लीजिए,25
करके,2
जंग,2
बेहतर,2
कमीशन,1
करवाएगा,3
खुर्शीद,1
लटकाएगा,1
जेल,1
अपील,1
इलमी,1
रहो,7
देखो,2
बार,1
वोट,5
मुसलमान,3
होइए,1
सेकुलर,1
सोचते,3
क्यों,17
करेगें,1
वी.डी,1
धन्यवाद,4
बी.एम,1
एल.सी,1
वेदांत,2
बाटूं,1
बनाओगी,1
बर्थडे,1
अजान,1
शर्मनाक,1
माने,2
टोका,1
शो,1
लूं,2
सुनाएगी,2
सुनाएंगे,4
सुनाईए,1
में..,13
उठें,1
बनाएं,4
रखे,8
मांगेगी,4
घृणित,2
बाहुबली,1
वाली,2
संसार,1
किस्से,3
हटती,1
जौहर,1
न,6
बताऊंगा,2
खतरा,2
कमाए,9
लाई,3
एन्ट्री,1
सिखाएंगी,1
जताई,21
उछालें,1
हंस,1
बंधती,1
मानसिक,1
रहती,4
जाएंगीं,1
यहां..,4
चाहेंगी,8
बनती,3
पिलाई,4
पूछी,2
भेजें,7
थीं..,2
राजस्व,1
वसूला,2
सकीं,4
मौका..,1
सौंपेगी,2
रहनुमा,1
जाय,5
उठाएगी,11
एस,22
मंगवाया,1
दिखा,21
एक्सरसाइज..,1
लगेगा..,1
देखे,5
साधे,1
कैसा,1
जरूरत,4
पहुंचाएं,2
कटौती,2
उठाये,2
परेशान,1
रघु,1
देखेंगे,16
मौका,2
ठाकोर,1
निभाएगी,1
आर.के.एस,1
पातीं,4
पाऊंगी,3
बांटी,2
आर.पी,2
खुलीं,1
कपूर,6
एच.एन,2
मनाएं,2
नहीं..,7
जाना,8
सुनें,3
आना,3
हैैं,1
भाभी,1
टंडन,1
खबरें,9
कहानी..,4
बैठेंगी,1
बटाओ,1
फूड,1
दिखाई,12
हत्या,3
शैतान,1
वहशी,1
उठाता,1
बीजेपी,2
मंत्री,5
उनको,1
बजाया,1
मिलवाया,4
खान,16
जानता,7
अत्रे,1
सीखें,2
स्वीकारा,2
के.वी,9
सी.पी,3
कलामसेरी,1
ए.एन,1
ओ,6
रखते,4
हर्बल,1
रखीं,6
भरेंगे,2
बंदरबांट,1
करिए,6
करिये,1
चाटा,1
बरतें,1
दिखाएंगे,2
योगदान,1
बचाया,8
हटी,1
गंवाई,4
शुरुआत,4
अभिनंदन,1
दोआब,2
सलाह,1
दिलाया,10
उठाए,21
निकालें,2
चलते,3
बैठेंगे,2
जलाएंगे,2
गिनाएंगे,1
कटुता,2
कहलाएंगे,1
घूमेंगे,1
खाई,3
चले,6
नेंगरू,1
बिछाया,3
सुलझी,1
दबाव,1
साधन,2
गणेश..,1
खुलेंगे,3
डालेंगे,5
आर.एस,1
फटकारा,1
गली,1
हाथ,2
रुकेगी,4
क्या..,2
सोचें,4
है.,7
हूं..,2
कहेंगे,7
हंसाया,2
उतारे,2
जांचा,1
मिलेगा..,2
लगाओ,2
फायदे,4
प्रदूषण,2
हनीप्रीत,1
शुन,1
आजादी,2
माणिक्य,1
बचाई,3
दिलाएंगे,6
शहंशाह,1
अंदाज,4
ढींगरा,2
नही,4
निपटाएंगी,1
पिटीशन,1
बचा,4
सोचती,1
दोहराई,4
सीखना,1
बनाईं,2
राणा,1
टास्क,1
रुपये..,2
प्लेसमेंट,1
वजीफा..,1
पादुकोण,1
कनेक्शन,1
पहुंचेंगी,1
गोल्ड,1
बजट,4
जायेगा,15
सवाल,3
मांगेंगे,2
जानिए..,3
थमा,4
सौरभ,1
आरसी,1
रूपाणी,2
खाएं,5
पहनें,4
सौपेंगी,1
वो,5
निकलेंगे,1
ट्वीट..,1
लिंगरी,1
मानी,6
प्यार,3
लेना,6
को,12
लिये,3
किमी,8
बनवाए,1
चुप,1
बोलें,5
कराएगी,6
हिदायत,1
सफलता..,1
सीक्रेट्स..,1
रहते,4
शांत,1
देती,9
बजी,1
जाओ,6
डी.बी,1
अध्याय,1
जरिए,1
बदला,7
माना,14
उतरेगी,4
बचे,2
निपटें,2
देकर,2
पहचाने,1
पाएंगीं,1
सकेंगी,7
लौटे,12
पटेल,1
टिरिपानो,1
घुसता,1
बताएगा,5
चलाईं,4
बनाइए,1
मांगा,9
मचाया,8
नेता,3
सदुपयोग..,1
पाना,1
मिनट,1
वसूलती,2
नाम.,1
सुधारा,1
गोद,1
गाना.,1
सामने,2
समझें,3
लगाना,2
मिलना,3
एकाउंट,1
मिसेज,1
मत,1
दीपिका,3
कपल,1
इंकार..,1
लूट,1
चोरी,2
खरीदा,6
आर.के,2
नाकामी,1
दिखता,5
आंदोलन,1
लेख,2
उधर,2
यूनाइटेड,1
कहानी,6
खली,1
सेलिब्रेशन,1
हाथी,3
दूसरी,2
सीबीएसई,1
डिटेल..,1
गाज,2
जलाया,5
भरेगा,6
मानेंगे,1
कंघी,1
करवाए,7
रास्ते,1
चिन्ह,1
उतरें,1
कराएं,6
दिखें,3
फिल्म,2
जामुन,1
जगह,1
बाहर,3
घोषणा,1
कयास,1
बोहरा,1
जादू,1
फैलेगी,2
जिम्मेदार,1
स्ट्राइक,1
रहे.,1
करने,2
बुलाने,1
अलग,6
जाना..,2
अंग्रेजी,1
होगे,2
पैर,1
लोग,3
रहस्यमयी,1
पहुंचाएंगे,3
दावे,2
जगाया,3
सबको,1
काटूंगी,1
शादी,6
होली,2
चेक,2
पहना,3
रूकी,2
लेकिन..,4
दिलवाएगा,1
बैंक,1
जहालत,1
आबादी,1
करवाएंगे,5
ते,1
त,1
चाहए,2
बनवाएंगे,2
उसमें,2
गिनाएगी,2
पायरेसी,1
उम्मीदें..,1
समझेगा,1
होगें,5
पूछा..,1
मोदी,1
सुनते,3
रैप,2
तो..,4
मैंने,4
बैग.,1
कहलाउंगी,1
पकाया,1
पाती..,1
पुलिस,3
उबालें,1
पहुचेंगे,1
हु,1
गाएंगे,4
तरीका,2
रहूंगी,4
आओगे,1
थैंक्यू,1
गगई,1
आऊंगा,2
जिएंगे,1
फीस,1
जताएं,1
देखता,2
थामा,1
मनाएगा,1
पाते,14
बिखेरें,1
पहुंचते,1
उतारी,1
कहूंगी,1
मछुआरे,1
सकता..,1
खिला,3
पहुंचें,1
पिएं,4
थकेगा,1
