monogram,frequency
न,1332
आ,2037
द,209
.,267
ओ,17
ए,99
व,328
ऐ,3
अ,12
क,6
ख,3
ब,6
।,20
उ,1
ई,18
ग,1
ह,3
छ,1
ट,2
औ,4
घ,8
थ,1
ा,1
र,1
य,1
