triagram,frequency
किए,1420
फिर,2120
पीट,30
बार,2684
है.,34573
कहा,7884
काम,2373
रही,5853
देश,2479
में,63419
इसी,1210
वजह,1465
बाद,7936
अजय,211
था.,6628
तरह,2465
लगे,479
तंग,46
मार,507
तरस,17
पीछ,6
अभी,1206
हार,247
पचा,8
पाई,184
रहा,4911
गृह,469
हाथ,666
खुद,1091
लाख,1067
डर.,2
कुछ,3545
पहल,66
रहे,5700
बीच,2259
योग,196
खास,634
अति,33
गाय,61
खून,186
नाम,2090
देख,397
हैं,5448
अली,381
खान,1616
आइए,83
ऐसे,1632
आती,304
सैफ,173
साथ,7379
नजर,1573
लिए,11067
छाप,15
कोई,3066
हिट,129
पाए,183
साल,3515
अंत,129
आने,1203
घटी,31
दिल,316
गया,6255
मदद,778
रूप,1123
हुई,2418
लोग,1986
लिप,3
काय,3
अलग,652
हाल,887
बना,836
टीम,1196
यही,605
रोल,399
शूट,124
तेल,239
रात,930
डेड,15
साफ,701
का.,58
दिन,2114
बाग,165
हुए,5279
रोज,169
जोश,23
डटी,6
गीत,53
ले.,22
फंड,97
देर,446
आता,243
जेल,783
कैद,110
जाए,274
बंद,779
शहर,396
मौत,1314
पास,1819
कार,568
सात,283
चार,839
गई.,1662
थी.,4289
तीन,1483
नयी,8
बात,3552
चंद,55
कदम,502
घेर,67
राम,672
सीट,780
आहत,40
वोट,607
बोझ,49
मजे,19
कमा,17
थे.,3212
अंश,13
लाल,240
तथा,217
गैर,119
सभी,1896
असम,226
हैः,24
हुआ,2124
तेज,389
ऐसी,670
बनी,410
असर,332
दी.,1148
मना,188
केस,944
फोन,597
पता,986
चला,527
तौर,945
टैप,9
सदन,195
गये,88
आये,32
काल,33
ऐसा,1347
सेल,145
रुप,29
की.,1458
गयी,85
माह,139
ढंग,65
रखी,278
नगर,384
भेज,375
माल,46
मूल,114
आया,825
वही,215
उसी,399
भरे,79
लाश,188
मैं,1795
खुश,205
अहम,474
लोक,89
समय,1707
लगा,1010
बोल,187
उसे,1870
है।,42
दी।,2
सही,406
बहू,50
एवं,299
उठा,181
चीफ,222
जिस,730
गली,72
डेट,136
इसे,1170
हूं,473
सीन,159
पेश,555
बता,1386
दें,1126
लीड,115
वजन,125
चीन,624
किस,259
सेट,163
दिए,866
आदि,98
खबर,674
सूद,32
ईशा,55
लुक,233
दिख,295
जान,452
बहन,258
शाम,479
पशु,24
पति,487
अगर,1630
आधा,66
तहत,807
रौब,1
शाह,819
गए.,1208
तूल,35
सभा,164
कहे,45
एंड,206
जला,54
आएं,20
चीज,117
जिद,20
मंच,213
फनी,35
रेस,45
फैन,128
खूब,240
जंग,168
गठन,122
आगे,971
मगर,340
राय,345
करा,207
कही,250
समझ,201
तरफ,818
गौर,67
लिख,95
कभी,625
मिल,823
आई.,128
ठीक,452
बने,408
वतन,9
राह,82
घाट,68
शरण,34
भाग,219
डटे,9
शूज,5
कुक,36
मजा,43
हेड,47
मात,56
कमर,42
नोट,279
लैस,38
चैट,64
फौज,49
जरा,47
सोच,208
खोल,108
अबु,22
बकर,14
धमक,9
साठ,5
शेख,69
कौन,352
डील,99
रेल,202
एयर,122
रुक,39
कटा,12
रीस,1
मसल,1
मैन,21
जून,357
मैच,334
जीत,647
रखा,599
ओवर,112
धवन,91
कसा,31
टैग,32
पार,201
वेब,53
वैध,21
पीठ,103
हो.,386
एएम,3
बहस,193
आना,130
बदल,270
थीं,195
सफर,141
जगह,743
सना,21
आकर,200
भले,208
भवन,119
तले,53
रूम,112
आयी,24
रेप,664
आपस,64
हां,46
बहल,27
नया,461
करण,273
याद,311
सके,82
हाई,348
बटन,25
मां,684
गलत,397
घाव,17
तभी,309
चुप,55
पाक,106
सजा,505
रोक,364
लाभ,139
देव,60
वीर,44
भी.,70
पर.,31
अटल,78
जाल,41
खपा,3
धूल,49
अटी,1
लेह,8
लीक,89
लौट,143
बाल,201
राव,110
पैर,96
कान,39
सुन,59
खां,21
ताश,2
खेल,301
बजट,423
मचा,101
कैफ,78
हटा,122
रंग,210
मान,129
मिस,55
औरत,19
बजे,678
ढेर,128
छिप,7
छोर,13
सफल,201
अथक,4
सनी,85
बाथ,1
गरम,11
पेज,85
जूं,3
चेक,90
घुस,70
सटे,88
नशे,113
खेप,23
लगी,386
जली,20
जेड,13
आशय,8
वाई,9
कोच,100
तो.,4
रील,8
कदर,39
बसा,13
दूर,417
पैक,29
आशा,46
माई,26
पोल,159
हंग,1
कुल,484
सका,48
शरद,141
गुट,64
खफा,34
रजा,34
हंस,25
शपथ,214
किन,26
भाई,519
दुख,92
आते,322
सीख,50
गुण,21
शोक,38
ओपी,21
सजे,10
बिक,23
हवा,129
एमए,8
दशक,127
चमक,18
दौर,238
चूर,10
शगल,4
फीस,74
बूथ,44
लूट,176
भरा,83
हों,82
लाग,1
बोर,19
भरी,105
संग,212
ली.,298
काट,130
डाल,154
आदर,7
बिल,252
झेल,44
नही,100
आनी,18
रखे,105
जिन,227
दाम,99
जोर,172
जमा,170
हित,62
यदि,244
भाव,68
आए.,204
सील,57
आधी,63
थीम,27
आधे,37
चोट,138
लिव,17
रोड,207
सिर,216
चयन,64
पदक,69
झूम,12
गले,124
कमी,218
टिक,41
यूं,83
कसे,3
लंच,54
शिव,73
रूख,29
ढाई,71
हवस,48
गईं,106
दंग,20
मील,36
महज,225
साई,7
मजह,2
सकी,41
तकत,1
चले,191
थाम,18
लहर,60
चौक,32
जुट,70
राज,288
ऐंड,27
औंस,9
असल,104
रुख,139
डार,8
रूस,183
नरम,26
उफा,4
आउट,87
लेग,14
पिच,22
छठा,19
गिर,125
पोज,14
फेम,39
बिग,372
ऊपर,284
ओपन,50
वार,101
दास,139
गजब,16
विद,27
करे,64
फूड,32
संघ,297
जगन,14
एन.,11
के.,63
होश,76
फंस,60
गला,100
भून,19
बीस,18
खुल,60
संत,42
दीप,8
थमा,13
भूल,91
बजा,8
छीन,41
नबी,25
उरी,84
पीर,5
घास,6
फीट,34
बसे,19
पेट,98
सदर,34
अंक,106
बाम,1
खेत,88
खोज,51
उभर,15
फूल,26
कूद,37
आदी,17
रमन,29
चली,179
लकर,2
झूठ,78
दखल,52
गैस,82
सबक,37
नेट,30
अनम,1
कलर,58
उधर,68
मनी,48
वहन,12
रकम,109
चरण,189
सिख,90
जता,41
शौक,34
खोट,1
वेट,11
कोड,57
अमल,45
फेक,31
जैन,92
हाय,10
पूछ,50
चोर,86
आहट,22
जाग,14
शोर,74
सेफ,14
यौन,219
तार,42
होम,120
आर.,20
नोक,10
चैन,26
तीस,35
शशि,55
बाज,17
मचे,13
छवि,96
कमल,58
जाट,113
जगत,82
बगल,35
सबब,21
बेस,54
डरे,19
जाम,69
रेड,90
बेच,47
दूत,15
अदा,89
साध,21
यंग,21
बरस,14
घटा,20
अमन,25
सईद,120
गेट,108
यहा,8
बचत,27
शोध,105
मौज,6
बैन,116
बैट,7
धरे,8
फैल,91
हरे,12
सीओ,12
बैग,75
आईं,70
आलम,58
खौफ,47
हंट,8
जनक,10
तलब,36
उपर,18
सैर,14
छठे,20
सुख,17
आयो,1
रे.,1
लघु,24
मुझ,28
छपी,35
उमर,109
शेष,22
तान,6
तुम,111
खैर,18
दो.,25
यूज,68
बरी,56
वां,8
बेन,18
यमन,18
जेट,63
मिट,3
टेक,25
ऐपल,19
पिन,5
जाओ,10
करन,23
रईस,11
गजल,18
सपा,319
ठोक,8
चलो,11
तंज,79
दूध,65
मेक,11
जैश,73
आका,15
दाल,23
बचा,114
रोग,39
गुड,42
लें,62
आशष,1
एवज,21
लाई,31
दे.,36
फेज,24
फूट,21
टाल,38
कौर,103
सदी,23
समन,61
अपन,2
नदी,109
ढंक,3
कवर,42
ढील,12
पैड,18
ऋणी,1
कृत,1
टूर,22
रतन,21
एली,9
दोष,20
जेस,1
आदत,49
बीड,4
आंच,12
खपत,27
पुल,64
बोस,73
शलभ,3
भगा,11
शौच,35
कथा,27
महल,20
सदा,6
पैग,3
पेड,12
जेब,46
कला,36
बचे,52
डी.,3
मो.,18
चाय,93
लोन,131
जूझ,63
बाब,1
था।,13
खोए,8
मेल,72
औसत,84
पवन,61
दबा,29
रभा,1
ठगा,5
नहर,39
नवी,8
इंच,38
लकी,25
रैम,53
जूम,7
पाल,46
पोप,6
माफ,94
पाप,14
छूट,133
नाग,8
शुभ,26
मास,8
जलम,1
दान,37
उमस,8
एटा,22
गरज,11
छाए,17
कपल,58
कहर,68
जहर,79
गति,50
अरब,166
सवा,31
बैठ,57
सघन,12
सास,36
रहम,8
भीख,13
हरा,29
मनु,23
रफा,2
दफा,12
चरम,24
वी.,6
धार,16
कतई,20
टूट,80
उठे,27
कैश,121
मची,17
घिर,11
कूल,28
यूए,1
गेम,54
रजत,15
रवि,75
लोब,1
दबी,9
इला,3
सुर,18
यूथ,37
बीत,39
डरा,19
बढा,7
किम,81
दुक,1
डबल,45
टोल,46
टूल,17
किट,17
मदन,22
घूस,8
खरे,13
जोस,10
सहज,22
शेफ,6
खाक,11
राख,7
दाग,27
रजक,1
पलक,18
भेद,8
खलल,7
उचट,2
कलह,22
कोर,32
अमर,85
हसन,23
इनु,1
पनप,10
नये,44
रमण,3
केई,1
दुआ,9
दमन,10
पैठ,13
सूट,18
चाह,35
गोद,57
भनक,22
मूड,41
एपी,7
लटक,22
पी.,55
अटक,13
फुल,35
भला,36
चाल,39
नचा,2
कवि,35
सन्,11
ही.,28
हरी,36
...,25
हूँ,9
नील,15
जया,56
अनु,26
गाई,2
बाप,34
राग,13
टूक,10
रूफ,2
एअर,27
लि.,6
इतर,29
हीं,11
भार,4
मेस,8
दशा,12
शेर,28
ताल,12
सजी,17
रु.,54
हटी,1
जे.,8
बीफ,46
बैल,6
उलट,29
घोल,17
बशर,9
असद,10
बूछ,2
मृत,93
बीट,3
हौज,8
रसद,3
फेर,16
लीं,1
हिल,14
उठी,15
खाई,16
रचा,20
उना,5
मरे,11
खाल,8
बैर,2
धुल,10
घोर,20
भीम,33
आला,48
महू,1
खोई,4
मंश,1
टंक,2
ठकर,1
उदय,28
ठोस,41
गहन,15
चुन,30
लेख,35
खरा,12
गुम,10
बची,26
ढली,1
फिट,60
भेष,8
विज,22
पाठ,21
नाव,27
सुध,7
मणि,7
छठी,22
सनम,4
ताज,40
बेड,25
वजस,1
शाद,3
अचल,17
उतर,105
डेढ,1
कौल,9
बूट,3
फसल,74
शेव,7
फेस,22
लीव,6
सैम,5
पलट,34
खोद,1
पात,7
बास,1
गुल,34
हेट,7
रेट,41
छाई,22
यशो,1
मेन,19
रूल,14
बुक,115
कलम,30
लाए,47
ठंड,14
वें,6
केट,8
लजर,1
शोज,46
ढका,6
रोष,15
नशा,18
आजम,115
शेप,20
हरि,6
टिम,14
पेच,8
पहन,46
कोष,30
सतह,14
धुत,15
वैन,58
शान,12
सोल,16
ललक,3
बेग,9
देह,28
ऊना,22
हुऐ,4
नकद,23
सेक,1
वेष,1
आंख,71
घटे,1
धोए,3
डेथ,30
दया,53
ने.,28
रास,18
साख,19
दफन,8
भेल,1
आपे,3
खाए,7
उदस,1
गिल,62
भाऊ,2
बाई,41
जिल,5
युग,28
मोड,18
टाई,4
शमी,10
ऋषभ,6
वचन,24
घोष,20
घूम,38
पटक,4
अता,5
ऐना,4
आदम,2
भूख,58
चाक,9
वैद,4
रोम,3
संस,3
हा.,1
जफर,26
जहन,7
मीर,34
जले,8
जगल,1
आयु,32
आइस,8
कैग,20
नगद,9
एशा,2
मी.,3
मरा,9
भंग,26
चूक,50
धुर,8
दलो,1
पंच,10
वृष,2
मीन,1
हमः,1
बैक,31
एल.,6
सी.,4
झलक,57
नरक,6
कसम,16
से.,36
भान,1
यश.,1
दशम,1
नवम,1
नीच,2
तिल,4
वलय,1
जाप,23
कंठ,2
आटा,14
मधु,40
उबर,23
दंड,40
मिड,33
मकर,4
लुट,2
ताक,14
फील,16
बुल,1
गोल,25
लौह,5
भटक,11
कैच,29
समा,14
घुट,2
सूख,14
नमी,21
नाई,3
नें,17
मेड,31
येस,1
कीं,8
फेल,49
जी.,12
कैब,80
बसो,2
बेल,31
पान,11
शहद,11
जलन,29
महा,7
अपर,32
लात,9
कसर,29
रूट,47
इधर,26
लपक,1
अबू,104
नाक,37
ऋषि,135
ताऊ,8
सगे,16
ताउ,1
वेल,2
लेन,20
देन,19
ईडी,53
सौर,10
जोन,63
घिस,10
हमे,6
चूज,2
आप.,2
मौन,20
पेय,5
साग,4
धूम,31
रहो,8
लता,47
उषा,9
नाथ,39
डूब,22
गुर,5
टैब,2
दबे,18
नली,3
थार,5
बंट,19
सने,10
उगल,11
पंत,27
वाच,3
सोए,2
बैच,24
खंड,7
मून,13
जीप,19
दवा,51
एसओ,3
करो,28
ना.,2
गजट,3
थोप,4
भगत,41
ठहर,5
अदद,6
पूल,11
रची,41
होन,1
भुज,4
कूच,8
काच,2
ताच,1
सुई,5
छुप,4
एसी,25
साह,5
सेम,4
खरी,5
ठगी,28
हैक,20
ईयर,33
डेज,4
सनक,11
दहल,15
अंग,21
बहा,11
बी.,4
औने,1
कीम,1
रेत,17
बीज,11
भीग,4
ओवन,1
सिम,24
टीस,5
नौश,1
समी,2
आलू,34
टहल,4
जनू,1
झुक,7
आसन,10
ढाक,4
ऊटी,6
तरण,17
डीन,7
वैट,42
सेस,16
जिम,51
थका,2
एकल,5
जोक,6
गाए,16
विश,26
लेक,21
दंभ,3
बिन,34
इरा,15
अवध,16
ऋतु,25
तोड,1
चलन,27
बडा,3
राड,1
छपे,7
लेट,18
खेर,83
रीच,1
ईला,1
तरक,1
एके,31
वाल,5
शतक,24
ओला,5
मैप,21
आरा,22
घनी,6
ओर.,2
विष,1
ठाट,1
निक,82
सकर,2
दून,1
आग.,1
लैब,37
कवच,1
वीं,7
धूस,1
सेव,8
नीम,12
कूट,6
गंध,3
धुन,9
कर.,6
दमक,2
अभय,37
पतन,5
टोन,9
परे,16
थोक,5
फतह,17
पुश,8
धरा,2
छका,1
कतर,9
समर,9
हूल,1
भूत,30
कतल,1
सगी,14
खरच,1
ऊंघ,1
नाच,11
सिह,4
रउफ,2
कलई,6
टीन,5
बाय,7
डेश,1
तीर,22
बनो,1
बटा,1
ओछी,4
ककी,1
केा,1
ईबी,1
कैन,5
साए,4
केक,26
चाव,1
दूं,12
धरी,3
शोम,1
इसव,1
पीस,21
वुड,2
टला,3
गबन,2
सूर,1
सेन,26
दंश,4
लगन,7
सार,4
पेण,2
खार,10
हाफ,22
ढाह,1
दैन,1
जमे,4
ताई,1
एबी,12
नीत,18
झील,28
लेब,2
बौन,1
नाल,2
लीग,36
चिट,18
तपस,4
बंध,16
जोए,2
लीच,7
कोब,1
बदन,8
लेस,7
कैट,5
मदर,5
एना,24
घने,16
लखन,2
बुआ,13
पिट,4
मोह,7
खडड,1
टोह,2
पला,1
डिक,2
तैर,5
एसए,9
एएस,3
एस.,22
ढाल,6
जूस,15
रनर,5
गदर,3
सता,9
डैड,2
रघु,8
रेज,12
कोे,2
वेग,1
गाद,1
ठाक,5
लचर,7
लला,3
सबा,10
आपा,9
मेम,3
हीर,5
घटक,11
पका,1
फैट,25
सहम,3
चने,4
अजब,3
झूल,7
ठान,14
वहा,3
फटा,5
बहु,3
शिन,3
सकल,7
छिन,3
पेन,12
पसद,1
खाद,19
