matra,frequency
ा,663968.0
ि,297048.0
ी,350336.0
ु,108253.0
ू,47955.0
े,521559.0
ै,109433.0
ो,211909.0
ौ,16361.0
ं,298940.0
ः,479.0
ँ,76.0
ृ,3515.0
