halfLetter,frequency
द्,10524
ल्,16634
ख्,4429
त्,25246
ग्,8335
न्,16436
र्,48664
क्,32196
स्,34706
प्,24239
ज्,6205
ष्,5445
ट्,11655
ड्,1991
ब्,4848
फ्,5129
म्,5466
श्,7786
च्,4379
व्,2811
भ्,438
ध्,3453
घ्,61
ह्,394
ण्,135
थ्,499
ठ्,42
े्,3
य्,68
ि्,23
ञ्,1
उ्,1
ु्,12
ी्,2
ू्,4
छ्,3
ै्,3
ृ्,2
ढ्,4
झ्,4
