swar,frequency
अ,53509.0
आ,48615.0
इ,48908.0
ई,33836.0
उ,38989.0
ऊ,1401.0
ए,73495.0
ऐ,4928.0
ओ,7292.0
औ,29808.0
अं,3560.0
अः,0.0
ऋ,306.0
