Length,frequency
1,1014
2,143684
3,78522
4,79838
5,48014
6,21452
7,8802
8,3502
9,972
10,478
11,140
12,12
13,0
14,2
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
