halfLetter,frequency
स्,17454
ष्,2709
व्,1430
र्,23804
प्,11908
ध्,1685
क्,15711
द्,5308
ग्,3889
च्,1945
म्,2866
थ्,239
त्,12274
ज्,2963
न्,8239
ड्,1000
ल्,8471
ब्,2452
फ्,2749
ट्,5675
ख्,2099
श्,3779
ण्,69
ह्,157
य्,40
भ्,211
घ्,45
ै्,1
झ्,2
ु्,8
ठ्,10
ू्,2
ि्,5
ञ्,2
छ्,1
े्,1
